player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
   Marcos Acuña,19,ar ARG,LB,30-136,13,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,28,2021-2022
   Carmona,30,es ESP,CB,20-043,24,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,28,2021-2022
Nemanja Gudelj,6,rs SRB,CB,30-117,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,28,2021-2022
Jules Koundé,23,fr FRA,CB,23-121,90,1,0,0,1,0,0,0,,0,3,2,1,1,2,6,0,28,2021-2022
Jesús Navas,16,es ESP,RB,36-112,54,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,28,2021-2022
   Jesús Corona,9,mx MEX,"LM,AM,WB",29-066,36,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,28,2021-2022
Yassine Bounou,13,ma MAR,GK,30-342,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Borja Iglesias,9,es ESP,FW,29-055,72,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,28,2021-2022
   William Carvalho,14,pt POR,"AM,RM",29-340,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Juanmi,7,es ESP,"LW,LM",28-297,90,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,28,2021-2022
Sergio Canales,10,es ESP,"RW,FW",31-025,90,1,0,1,0,0,0,0,,0,2,0,2,1,2,1,0,28,2021-2022
Nabil Fekir,8,fr FRA,"AM,FW",28-238,79,2,2,0,2,0,0,0,,0,1,0,1,0,2,1,0,28,2021-2022
Guido Rodríguez,21,ar ARG,"DM,CM",27-335,90,2,1,0,2,0,1,3,33.3,2,3,1,2,1,3,1,0,28,2021-2022
Paul Akouokou,4,ci CIV,DM,24-083,87,3,2,1,2,0,2,2,100.0,0,0,0,0,2,5,1,0,28,2021-2022
   Édgar González,3,es ESP,CM,24-346,3,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,28,2021-2022
Juan Miranda,33,es ESP,LB,22-053,69,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,28,2021-2022
   Aitor Ruibal,24,es ESP,LB,25-356,21,2,2,2,0,0,2,2,100.0,0,1,0,1,2,4,0,0,28,2021-2022
Marc Bartra,5,es ESP,CB,31-057,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,9,0,28,2021-2022
Germán Pezzella,16,ar ARG,CB,30-259,90,2,1,2,0,0,2,4,50.0,2,0,0,0,2,4,6,0,28,2021-2022
Youssouf Sabaly,23,sn SEN,RB,29-008,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,28,2021-2022
Rui Silva,13,pt POR,GK,28-034,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Iñaki Williams,9,gh GHA,FW,27-271,58,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Nico Williams,30,es ESP,RM,19-244,32,2,1,0,0,2,0,0,,0,1,0,1,0,2,0,0,28,2021-2022
Oihan Sancet,8,es ESP,FW,21-322,83,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,28,2021-2022
   Raúl García,22,es ESP,FW,35-245,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Iker Muniain,10,es ESP,"LM,CM",29-084,90,1,0,0,1,0,0,0,,0,2,1,1,0,1,1,0,28,2021-2022
Mikel Vesga,6,es ESP,CM,28-296,70,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,1,0,28,2021-2022
   Oier Zarraga,19,es ESP,"DM,CM",23-068,20,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,28,2021-2022
Unai Vencedor Paris,16,es ESP,CM,21-118,83,1,0,0,0,1,0,0,,0,0,0,0,1,2,0,0,28,2021-2022
   Nicolás Serrano,33,es ESP,LM,19-008,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Álex Berenguer,7,es ESP,"RM,FW",26-252,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,28,2021-2022
Yuri Berchiche,17,es ESP,LB,32-031,57,3,1,0,2,1,1,1,100.0,0,2,0,2,2,5,1,0,28,2021-2022
   Mikel Balenziaga,24,es ESP,LB,34-012,33,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,28,2021-2022
Yeray Álvarez,5,es ESP,CB,27-048,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,4,0,28,2021-2022
Daniel Vivian,12,es ESP,CB,22-241,90,3,3,3,0,0,2,3,66.7,1,0,0,0,1,4,2,0,28,2021-2022
Óscar de Marcos,18,es ESP,RB,32-333,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,28,2021-2022
Unai Simón,1,es ESP,GK,24-275,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Alexander Isak,19,se SWE,FW,22-173,61,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,28,2021-2022
   Alexander Sørloth,23,no NOR,FW,26-098,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,28,2021-2022
Adnan Januzaj,11,be BEL,LM,27-036,62,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Mikel Oyarzabal,10,es ESP,LM,24-326,28,0,0,0,0,0,0,0,,0,2,1,1,1,1,0,0,28,2021-2022
Mikel Merino,8,es ESP,CM,25-264,90,1,0,0,1,0,0,1,0.0,1,3,0,3,1,2,2,0,28,2021-2022
Rafinha,17,br BRA,CM,29-029,82,2,2,2,0,0,0,1,0.0,1,2,0,2,1,3,0,0,28,2021-2022
   Igor Zubeldia,5,es ESP,CM,24-348,8,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,28,2021-2022
Portu,7,es ESP,RM,29-296,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Asier Illarramendi,4,es ESP,DM,32-005,45,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0,28,2021-2022
   Martín Zubimendi,3,es ESP,DM,23-039,45,2,1,1,1,0,0,0,,0,0,0,0,0,2,2,0,28,2021-2022
Diego Rico,15,es ESP,LB,29-018,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,0,28,2021-2022
Jon Pacheco,26,es ESP,CB,21-064,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,0,28,2021-2022
Robin Le Normand,24,es ESP,CB,25-122,90,2,1,2,0,0,1,1,100.0,0,3,3,0,1,3,7,0,28,2021-2022
Andoni Gorosabel,18,es ESP,RB,25-221,73,3,3,2,1,0,0,0,,0,1,0,1,1,4,3,0,28,2021-2022
   Joseba Zaldúa,2,es ESP,RB,29-262,17,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,28,2021-2022
Álex Remiro,1,es ESP,GK,26-354,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Joselu,9,es ESP,FW,31-351,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,28,2021-2022
Luis Rioja,11,es ESP,LW,28-148,82,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0,28,2021-2022
   Manu Vallejo,7,es ESP,LW,25-027,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Édgar Méndez,17,es ESP,RW,32-070,72,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,1,0,28,2021-2022
   Jason,25,es ESP,RW,27-250,18,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,28,2021-2022
Pere Pons,20,es ESP,AM,29-021,72,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,28,2021-2022
   Mamadou N'Diaye,6,,MF,25-073,18,,1,,,,,,,,,,,0,,,,28,2021-2022
Tomás Pina Isla,8,es ESP,DM,34-150,61,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,28,2021-2022
   Gonzalo Escalante,16,ar ARG,DM,28-351,29,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Toni Moya,15,es ESP,DM,23-358,82,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,28,2021-2022
   Miguel,24,es ESP,DM,22-191,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Rubén Duarte,3,es ESP,LB,26-146,90,3,1,1,1,1,2,2,100.0,0,1,0,1,3,6,2,0,28,2021-2022
Florian Lejeune,22,fr FRA,CB,30-297,90,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,7,0,28,2021-2022
Víctor Laguardia,5,es ESP,CB,32-128,90,0,0,0,0,0,0,0,,0,3,2,1,0,0,3,0,28,2021-2022
Nahuel Tenaglia,2,ar ARG,RB,26-020,90,3,3,2,0,1,1,3,33.3,2,1,0,1,2,5,0,0,28,2021-2022
Fernando Pacheco,1,es ESP,GK,29-299,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Pierre-Emerick Aubameyang,25,ga GAB,FW,32-268,72,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,1,0,28,2021-2022
   Memphis,9,nl NED,FW,28-028,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Ferrán Torres,19,es ESP,LW,22-012,79,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,28,2021-2022
   Martin Braithwaite,12,dk DEN,LW,30-281,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Ousmane Dembélé,7,fr FRA,RW,24-302,90,3,3,0,2,1,1,2,50.0,1,1,0,1,0,3,0,0,28,2021-2022
Gavi,30,es ESP,LM,17-220,90,3,1,1,2,0,0,0,,0,1,0,1,3,6,0,0,28,2021-2022
Sergio Busquets,5,es ESP,CM,33-240,90,3,1,1,1,1,0,0,,0,2,0,2,1,4,0,0,28,2021-2022
Pedri,16,es ESP,RM,19-108,72,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0,28,2021-2022
   Riqui Puig,6,es ESP,RM,22-212,18,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,28,2021-2022
Jordi Alba,18,es ESP,LB,32-357,78,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,28,2021-2022
   Óscar Mingueza,22,es ESP,LB,22-304,12,2,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,28,2021-2022
Eric García,24,es ESP,CB,21-063,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Gerard Piqué,3,es ESP,CB,35-039,61,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,28,2021-2022
   Clément Lenglet,15,fr FRA,CB,26-269,29,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,28,2021-2022
Dani Alves,8,br BRA,RB,38-311,90,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,0,0,28,2021-2022
Marc-André ter Stegen,1,de GER,GK,29-317,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Kiké,18,es ESP,FW,32-108,90,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0,28,2021-2022
Javi Martínez,28,es ESP,"FW,CM",22-081,72,2,0,0,2,0,1,2,50.0,1,0,0,0,0,2,1,0,28,2021-2022
   Darko Brašanac,8,rs SRB,CM,30-029,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Rubén García,14,es ESP,LM,28-242,45,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,28,2021-2022
   Roberto Torres,10,es ESP,CM,33-006,45,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0,28,2021-2022
Lucas Torró,24,es ESP,CM,27-237,45,0,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,28,2021-2022
   Unai García,4,es ESP,CB,30-038,45,1,1,1,0,0,1,2,50.0,1,4,2,2,3,4,5,0,28,2021-2022
Jon Moncayola,7,es ESP,CM,23-304,90,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,1,0,28,2021-2022
Iker Benito,33,es ESP,"RM,FW",19-215,66,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Ante Budimir,17,hr CRO,FW,30-234,24,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,28,2021-2022
José Ángel,16,es ESP,LB,32-189,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,28,2021-2022
Juan Cruz Armada,3,es ESP,CB,29-228,90,3,3,1,1,1,1,2,50.0,1,2,1,1,1,4,4,1,28,2021-2022
David García,5,es ESP,CB,28-027,45,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,28,2021-2022
   Aridane Hernández,23,es ESP,CB,32-355,45,2,1,1,1,0,0,0,,0,1,1,0,1,3,0,0,28,2021-2022
Nacho Vidal,2,es ESP,RB,27-048,90,4,2,3,0,1,3,3,100.0,0,1,1,0,2,6,4,0,28,2021-2022
Sergio Herrera,1,es ESP,GK,28-281,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,28,2021-2022
Ángel Rodríguez,22,es ESP,FW,34-322,67,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,28,2021-2022
   Abdón Prats,9,es ESP,FW,29-097,23,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,28,2021-2022
Vedat Muriqi,7,xk KVX,FW,27-324,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0,28,2021-2022
Takefusa Kubo,17,jp JPN,LM,20-283,77,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,28,2021-2022
   Lee Kang-in,19,kr KOR,RM,21-023,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Antonio Sánchez,10,es ESP,CM,25-072,67,2,0,1,0,1,1,2,50.0,1,1,0,1,1,3,0,0,28,2021-2022
   Salva Sevilla,8,es ESP,CM,37-361,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Iddrisu Baba,12,gh GHA,CM,26-051,85,3,0,2,0,1,1,2,50.0,1,4,0,4,1,4,0,1,28,2021-2022
   Clément Grenier,6,fr FRA,CM,31-066,5,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,28,2021-2022
Dani Rodríguez,14,es ESP,RM,33-281,78,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,0,0,28,2021-2022
   Amath,23,sn SEN,LM,25-241,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Brian Oliván,3,es ESP,LB,27-347,90,2,2,2,0,0,1,1,100.0,0,3,1,2,1,3,1,0,28,2021-2022
Antonio Raillo,21,es ESP,CB,30-157,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,0,28,2021-2022
Martin Valjent,24,sk SVK,CB,26-093,90,2,2,2,0,0,2,2,100.0,0,0,0,0,1,3,2,0,28,2021-2022
Pablo Maffeo,15,es ESP,RB,24-245,90,10,6,5,2,3,7,9,77.8,2,1,1,0,1,11,2,0,28,2021-2022
Sergio Rico,25,es ESP,GK,28-194,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Karim Benzema,9,fr FRA,FW,34-085,90,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0,28,2021-2022
Vinicius Júnior,20,br BRA,LW,21-245,90,2,1,0,1,1,0,1,0.0,1,0,0,0,1,3,0,0,28,2021-2022
Rodrygo,21,br BRA,RW,21-064,70,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
   Marco Asensio,11,es ESP,RW,26-052,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Toni Kroos,8,de GER,LM,32-069,90,4,3,1,2,1,1,2,50.0,1,2,1,1,0,4,0,0,28,2021-2022
Casemiro,14,br BRA,CM,30-019,60,1,1,0,1,0,0,1,0.0,1,3,1,2,3,4,1,0,28,2021-2022
   Eduardo Camavinga,25,fr FRA,CM,19-124,30,3,1,1,2,0,2,2,100.0,0,0,0,0,1,4,1,0,28,2021-2022
Federico Valverde,15,uy URU,RM,23-235,59,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,28,2021-2022
   Luka Modrić,10,hr CRO,RM,36-186,31,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,28,2021-2022
