player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Raúl de Tomás,11,es ESP,"FW,RM",27-206,75,37,4,8,18,11,2,36,4,2,50.0,2,50.0,18,87,34,1,0,1,2,1,29,6,36,2021-2022
   Wu Lei,7,cn CHN,FW,30-173,15,2,0,0,2,0,0,2,0,0,,0,,1,0,0,0,0,0,0,0,1,0,36,2021-2022
Nico Ribaudo,21,es ESP,"LW,LM",21-030,74,36,0,6,17,14,3,36,4,2,50.0,2,50.0,26,180,109,4,0,2,2,1,29,5,36,2021-2022
   Tonny Vilhena,19,nl NED,WB,27-128,16,10,2,5,2,3,2,10,0,0,,0,,3,37,13,1,0,0,0,0,3,1,36,2021-2022
Javi Puado,9,es ESP,"FW,RW",23-351,90,19,2,4,7,9,2,19,2,1,50.0,1,50.0,12,80,5,0,0,0,2,0,13,5,36,2021-2022
Sergi Darder,10,es ESP,"CM,LM",28-140,90,55,6,18,26,12,0,55,2,2,100.0,0,0.0,35,132,79,1,0,0,2,1,38,0,36,2021-2022
Yangel Herrera,25,ve VEN,CM,24-117,45,40,5,10,27,3,0,40,1,1,100.0,0,0.0,20,72,26,0,0,0,0,0,28,0,36,2021-2022
Óscar Melendo,14,es ESP,RM,24-261,48,26,0,3,17,6,0,26,2,2,100.0,0,0.0,13,72,28,1,0,0,0,0,21,1,36,2021-2022
   David López,15,es ESP,CM,32-214,42,22,2,7,12,3,0,22,0,0,,0,,8,28,12,0,0,0,0,0,13,1,36,2021-2022
Leandro Cabrera,4,uy URU,"LB,CB",30-328,90,73,13,38,30,6,0,73,0,0,,0,,26,42,10,0,0,0,1,0,40,1,36,2021-2022
Sergi Gómez,24,es ESP,CB,30-044,90,42,10,33,9,0,0,42,0,0,,0,,13,38,7,0,0,0,1,0,25,0,36,2021-2022
