player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Cristian Herrera,7,es ESP,LW,32-198,90,0,0,0,0,0,0,0,0,66,1,0,1,0.0,0.0,0.0,2,0,54,58,93.1,5,43,2,2,1,7,2023-2024
Munir El Haddadi,17,ma MAR,"RW,FW",28-026,90,0,0,0,0,3,0,0,0,55,2,0,0,0.1,0.1,0.0,3,0,35,41,85.4,4,38,1,2,1,7,2023-2024
Jonathan Viera,21,es ESP,CM,33-341,76,0,0,0,0,1,1,0,0,103,0,0,0,0.0,0.0,0.1,6,0,87,97,89.7,6,77,4,2,1,7,2023-2024
   Máximo Perrone,8,ar ARG,CM,20-263,14,0,0,0,0,1,0,0,0,27,1,0,0,0.0,0.0,0.1,3,0,24,24,100.0,3,21,0,0,0,7,2023-2024
Omenuke Mfulu,22,cd COD,CM,29-191,45,0,0,0,0,0,0,0,0,41,3,2,1,0.0,0.0,0.0,2,0,24,28,85.7,1,23,1,0,0,7,2023-2024
   Kirian Rodríguez,20,es ESP,CM,27-206,45,0,0,0,0,3,1,0,0,68,2,1,0,0.1,0.1,0.1,1,0,55,59,93.2,7,55,4,0,0,7,2023-2024
Javier Muñoz,5,es ESP,CM,28-211,76,0,0,0,0,1,0,0,0,63,1,0,2,0.0,0.0,0.0,1,0,49,56,87.5,3,46,1,0,0,7,2023-2024
   Enzo Loiodice,12,fr FRA,CM,22-304,14,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,2,0,12,14,85.7,1,14,1,1,1,7,2023-2024
Daley Sinkgraven,18,nl NED,LB,28-085,45,0,0,0,0,0,0,0,0,33,2,0,1,0.0,0.0,0.0,0,0,21,25,84.0,0,17,0,1,0,7,2023-2024
   Sergi Cardona,3,es ESP,LB,24-081,45,0,0,0,0,2,0,0,0,46,2,0,0,0.2,0.2,0.0,2,0,35,38,92.1,1,35,1,1,1,7,2023-2024
Eric Curbelo,6,es ESP,CB,29-256,90,0,0,0,0,0,0,0,0,66,2,2,3,0.0,0.0,0.0,1,0,51,53,96.2,4,36,0,0,0,7,2023-2024
Saúl Coco,23,gq EQG,CB,24-230,90,0,0,0,0,1,0,1,0,59,3,0,3,0.0,0.0,0.0,0,0,40,44,90.9,1,35,0,0,0,7,2023-2024
Julian Araujo,28,mx MEX,RB,22-045,90,0,0,0,0,0,0,0,0,68,3,2,1,0.0,0.0,0.2,5,0,54,58,93.1,6,39,0,0,0,7,2023-2024
Álvaro Vallés,13,es ESP,GK,26-064,90,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.0,0,0,34,42,81.0,0,32,0,0,0,7,2023-2024
Alex Baena,16,es ESP,FW,22-069,90,0,0,0,0,3,1,1,0,64,1,0,1,0.1,0.1,0.5,5,0,38,55,69.1,9,39,7,0,0,7,2023-2024
Alexander Sørloth,11,no NOR,FW,27-296,90,0,0,0,0,1,0,0,0,27,1,0,1,0.2,0.2,0.0,0,0,11,15,73.3,1,17,2,4,1,7,2023-2024
Yeremi Pino,21,es ESP,LM,20-342,58,0,0,0,0,4,1,1,0,26,3,1,1,0.4,0.4,0.0,4,0,13,16,81.3,2,14,0,3,2,7,2023-2024
   Ilias Akhomach,27,es ESP,LM,19-164,32,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,10,12,83.3,1,14,1,1,0,7,2023-2024
Étienne Capoue,6,fr FRA,CM,35-078,58,0,0,0,0,1,0,0,0,50,1,0,0,0.0,0.0,0.0,3,2,44,45,97.8,6,31,2,1,1,7,2023-2024
   Ramón Terrats,20,es ESP,CM,22-344,32,0,0,0,0,1,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,24,25,96.0,2,12,0,1,1,7,2023-2024
Daniel Parejo,10,es ESP,CM,34-164,87,1,0,1,1,0,0,0,0,69,1,0,0,0.8,0.0,0.0,4,0,63,65,96.9,9,27,1,0,0,7,2023-2024
   Manu Trigueros,14,es ESP,CM,31-345,3,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,3,7,1,0,0,7,2023-2024
José Luis Morales,15,es ESP,RM,36-066,77,0,0,0,0,2,0,0,0,22,1,0,1,0.3,0.3,0.0,3,0,13,16,81.3,0,15,2,3,2,7,2023-2024
   Ben Brereton,9,cl CHI,RM,24-162,13,0,0,0,0,1,0,1,0,11,1,0,0,0.1,0.1,0.0,1,0,2,4,50.0,1,8,2,0,0,7,2023-2024
Alfonso Pedraza,24,es ESP,LB,27-171,90,0,0,0,0,0,0,0,0,67,2,0,2,0.0,0.0,0.0,1,0,41,56,73.2,3,33,6,3,1,7,2023-2024
Aïssa Mandi,23,dz ALG,CB,31-340,90,0,0,0,0,0,0,0,0,68,0,2,1,0.0,0.0,0.1,1,0,59,63,93.7,5,31,0,0,0,7,2023-2024
Raúl Albiol,3,es ESP,CB,38-023,77,0,0,0,0,0,0,0,0,39,3,3,1,0.0,0.0,0.0,0,0,27,30,90.0,2,18,1,0,0,7,2023-2024
