player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Aritz Aduriz,20,es ESP,FW,36-294,90,2,1,1,1,0,0,1,0.0,1,0,0,0,0,2,1,0,14,2017-2018
Markel Susaeta,14,es ESP,LW,29-353,90,1,1,1,0,0,0,4,0.0,4,0,0,0,1,2,0,0,14,2017-2018
Iñaki Williams,11,gh GHA,RW,23-170,82,0,0,0,0,0,0,5,0.0,5,1,0,1,1,1,0,0,14,2017-2018
   Iñigo Córdoba,28,es ESP,RW,20-264,8,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,2017-2018
Raúl García,22,es ESP,AM,31-144,90,4,2,3,1,0,1,2,50.0,1,2,0,2,1,5,1,0,14,2017-2018
Mikel Rico,17,es ESP,DM,33-028,90,0,0,0,0,0,0,3,0.0,3,1,1,0,5,5,3,0,14,2017-2018
Ander Iturraspe,8,es ESP,DM,28-269,38,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,14,2017-2018
   Mikel San José,6,es ESP,DM,28-186,52,2,2,2,0,0,1,4,25.0,3,5,2,3,0,2,1,0,14,2017-2018
Mikel Balenziaga,24,es ESP,LB,29-276,90,1,0,1,0,0,1,1,100.0,0,3,0,3,3,4,6,0,14,2017-2018
Xabier Etxeita,16,es ESP,CB,30-032,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,8,0,14,2017-2018
Unai Núñez,30,es ESP,CB,20-306,90,0,0,0,0,0,0,2,0.0,2,2,2,0,3,3,6,0,14,2017-2018
Óscar de Marcos,18,es ESP,RB,28-232,71,0,0,0,0,0,0,0,,0,1,0,1,2,2,4,0,14,2017-2018
   Iñigo Lekue,15,es ESP,RB,24-212,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Kepa Arrizabalaga,1,es ESP,GK,23-060,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Cristiano Ronaldo,7,pt POR,FW,32-300,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,14,2017-2018
Karim Benzema,9,fr FRA,FW,29-348,81,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,1,0,14,2017-2018
   Borja Mayoral,21,es ESP,FW,20-241,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Isco,22,es ESP,AM,25-225,81,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,14,2017-2018
   Mateo Kovačić,23,hr CRO,AM,23-210,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,2017-2018
Toni Kroos,8,de GER,LM,27-332,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,14,2017-2018
