player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Kiké,17,es ESP,FW,28-133,77,0,0,0,0,1,0,0,0,22,2,0,1,0.1,0.1,0.0,1,0,11,16,68.8,0,14,0,0,0,31,2017-2018
   Iván Alejo,20,es ESP,"RW,FW",23-056,13,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.1,1,0,4,6,66.7,0,7,3,0,0,31,2017-2018
Fabián Orellana,2,cl CHI,"LW,FW,RM",32-070,90,0,0,0,0,0,0,1,0,28,0,0,1,0.0,0.0,0.0,0,0,16,21,76.2,1,18,3,3,0,31,2017-2018
Pedro León,21,es ESP,"RW,AM",31-134,90,0,0,0,0,0,0,0,0,46,0,2,1,0.0,0.0,0.1,2,0,17,35,48.6,3,22,2,3,1,31,2017-2018
Joan Jordán,24,es ESP,"LM,DM",23-275,90,0,0,0,0,0,0,0,0,53,2,0,2,0.0,0.0,0.0,1,0,40,47,85.1,4,34,0,1,0,31,2017-2018
Dani García,14,es ESP,"CM,DM",27-318,90,0,0,0,0,0,0,1,0,60,2,1,1,0.0,0.0,0.0,0,0,42,53,79.2,6,39,2,1,1,31,2017-2018
Gonzalo Escalante,5,ar ARG,RM,25-011,62,0,0,0,0,0,0,0,0,36,1,2,0,0.0,0.0,0.0,0,0,22,35,62.9,0,21,0,0,0,31,2017-2018
   Takashi Inui,8,jp JPN,LW,29-309,28,0,0,0,0,3,1,0,0,12,0,0,1,0.1,0.1,0.0,0,0,5,6,83.3,0,9,3,0,0,31,2017-2018
José Ángel,15,es ESP,LB,28-214,63,0,0,0,0,0,0,0,0,53,1,0,1,0.0,0.0,0.0,0,0,35,49,71.4,3,23,1,0,0,31,2017-2018
   Ander Capa,7,es ESP,RB,26-058,27,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,15,18,83.3,5,12,2,1,0,31,2017-2018
Anaitz Arbilla,18,es ESP,CB,30-327,90,0,0,0,0,0,0,0,0,69,0,2,1,0.0,0.0,0.0,1,0,59,64,92.2,6,53,1,0,0,31,2017-2018
Iván Ramis,4,es ESP,CB,33-164,90,0,0,0,0,1,1,0,0,71,0,1,2,0.1,0.1,0.0,0,0,50,61,82.0,6,41,0,1,1,31,2017-2018
Rubén Peña,11,es ESP,"RB,LB",26-263,90,0,0,0,0,0,0,0,0,79,2,2,4,0.0,0.0,0.1,2,0,41,67,61.2,5,40,2,3,1,31,2017-2018
Marko Dmitrović,25,rs SRB,GK,26-073,90,0,0,0,0,0,0,0,0,40,1,0,0,0.0,0.0,0.0,0,0,21,38,55.3,0,18,0,0,0,31,2017-2018
Luis Suárez,9,uy URU,FW,31-073,90,0,0,0,0,3,1,0,0,40,1,0,0,1.1,1.1,0.0,2,0,11,23,47.8,1,18,1,1,0,31,2017-2018
Philippe Coutinho,14,br BRA,LW,25-299,80,0,1,0,0,1,1,1,0,63,1,0,1,0.0,0.0,0.2,2,1,44,50,88.0,3,45,3,5,2,31,2017-2018
   Andrés Iniesta,8,es ESP,LW,33-331,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,2,9,0,0,0,31,2017-2018
Ousmane Dembélé,11,fr FRA,RW,20-327,87,0,1,0,0,0,0,0,0,56,2,0,2,0.0,0.0,0.7,3,2,31,45,68.9,5,37,7,6,3,31,2017-2018
   Denis Suárez,6,es ESP,RW,24-091,3,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,1,2,1,31,2017-2018
Lionel Messi,10,ar ARG,AM,30-287,90,3,0,0,0,6,4,0,0,77,0,0,1,1.1,1.1,0.6,3,1,46,60,76.7,9,54,8,9,6,31,2017-2018
André Gomes,21,pt POR,DM,24-251,90,0,0,0,0,1,0,0,0,88,2,1,0,0.0,0.0,0.0,1,0,75,80,93.8,5,57,0,2,2,31,2017-2018
Ivan Rakitić,4,hr CRO,DM,30-028,90,0,0,0,0,0,0,0,0,125,4,3,0,0.0,0.0,0.0,2,2,100,116,86.2,13,90,1,0,0,31,2017-2018
Sergi Roberto,20,es ESP,LB,26-059,73,0,0,0,0,0,0,0,0,78,2,1,1,0.0,0.0,0.2,4,0,65,70,92.9,9,49,4,3,2,31,2017-2018
   Jordi Alba,18,es ESP,LB,29-017,17,0,0,0,0,0,0,1,0,19,2,2,0,0.0,0.0,0.0,0,0,10,15,66.7,1,10,0,0,0,31,2017-2018
Thomas Vermaelen,25,be BEL,CB,32-144,90,0,0,0,0,0,0,0,0,85,1,2,1,0.0,0.0,0.0,1,0,74,79,93.7,10,68,1,1,0,31,2017-2018
Gerard Piqué,3,es ESP,CB,31-064,90,0,0,0,0,1,0,0,0,92,1,0,2,0.1,0.1,0.0,2,0,73,84,86.9,3,68,4,0,0,31,2017-2018
Nélson Semedo,2,pt POR,RB,24-142,90,0,0,0,0,0,0,0,0,87,3,1,1,0.0,0.0,0.1,1,0,69,79,87.3,2,50,4,3,2,31,2017-2018
Marc-André ter Stegen,1,de GER,GK,25-342,90,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,20,20,100.0,0,11,0,0,0,31,2017-2018
Nordin Amrabat,7,ma MAR,FW,31-007,45,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,2,0,17,19,89.5,4,17,1,1,0,31,2017-2018
   Claudio Beauvue,12,gp GLP,FW,29-356,45,0,0,0,0,4,0,0,0,15,0,1,0,0.2,0.2,0.0,1,0,3,4,75.0,1,10,1,1,0,31,2017-2018
Omar Ramos,23,es ESP,"LW,LM",30-071,90,0,0,0,0,0,0,0,0,39,2,2,2,0.0,0.0,0.1,2,0,22,27,81.5,0,24,1,2,2,31,2017-2018
Nabil El Zhar,10,ma MAR,"RW,RM",31-223,90,1,0,0,0,4,1,0,0,41,0,3,1,0.2,0.2,0.1,3,0,22,29,75.9,2,27,5,7,4,31,2017-2018
Javier Eraso,17,es ESP,AM,28-016,59,0,0,0,0,2,0,0,0,27,0,0,2,0.1,0.1,0.0,1,0,12,17,70.6,0,17,1,1,0,31,2017-2018
   Darko Brašanac,24,rs SRB,"AM,CM",26-054,31,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.1,1,0,8,10,80.0,0,6,0,0,0,31,2017-2018
Gabriel,8,br BRA,"DM,CM",24-201,90,0,1,0,0,0,0,1,0,56,5,5,4,0.0,0.0,0.2,4,1,31,44,70.5,3,32,2,2,1,31,2017-2018
Rubén Pérez,21,es ESP,DM,28-346,77,0,0,0,0,1,0,1,0,50,2,5,1,0.0,0.0,0.0,0,0,24,35,68.6,2,26,1,1,0,31,2017-2018
   Miguel Ángel Guerrero,9,es ESP,"FW,DM",27-269,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,2,5,0,0,0,31,2017-2018
Raúl García,14,es ESP,LB,28-342,90,0,0,0,0,0,0,0,0,49,3,2,2,0.0,0.0,0.0,3,1,28,38,73.7,3,31,3,4,3,31,2017-2018
Dimitris Siovas,22,gr GRE,CB,29-203,90,0,0,0,0,0,0,1,0,26,2,1,2,0.0,0.0,0.0,0,0,14,16,87.5,0,6,0,0,0,31,2017-2018
Unai Bustinza,3,es ESP,CB,26-064,90,0,0,0,0,0,0,0,0,40,2,5,1,0.0,0.0,0.0,1,0,17,27,63.0,2,19,1,0,0,31,2017-2018
Joseba Zaldúa,20,es ESP,RB,25-287,90,0,0,0,0,0,0,1,0,48,2,6,1,0.0,0.0,0.0,1,0,25,36,69.4,2,22,3,2,2,31,2017-2018
Iván Cuéllar,1,es ESP,GK,33-315,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,12,28,42.9,0,13,0,0,0,31,2017-2018
Giampaolo Pazzini,17,it ITA,FW,33-249,62,0,0,0,0,2,1,0,0,15,0,1,0,0.1,0.1,0.0,1,1,6,9,66.7,1,10,2,1,0,31,2017-2018
   Armando Sadiku,7,al ALB,FW,26-316,28,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,4,9,44.4,0,5,1,0,0,31,2017-2018
Roger Martí,9,es ESP,FW,27-095,86,0,0,0,0,5,1,0,0,27,0,0,2,0.5,0.5,0.0,0,0,7,13,53.8,0,16,2,2,1,31,2017-2018
   Sergio Postigo,15,es ESP,"CB,FW",29-155,4,0,0,0,0,0,0,0,0,3,1,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,31,2017-2018
