player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Thibaut Courtois,1,be BEL,GK,28-345,90,31,23,8,2,0,0,0,0,0,0,0,0,29,0,0,31,2020-2021
Ángel Correa,10,ar ARG,"FW,AM",26-044,83,29,29,0,0,0,0,0,0,0,0,0,0,28,0,0,31,2020-2021
   Lucas Torreira,5,uy URU,"CM,AM",25-070,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Saúl Ñíguez,8,es ESP,AM,26-152,86,70,68,2,0,0,0,0,1,0,0,0,0,65,0,0,31,2020-2021
   Vitolo,20,es ESP,WB,31-171,4,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0,31,2020-2021
Marcos Llorente,14,es ESP,"AM,CM,FW",26-082,90,35,35,0,0,0,0,4,0,0,0,0,0,28,0,0,31,2020-2021
Héctor Herrera,16,mx MEX,CM,31-003,75,89,85,4,4,0,0,0,0,0,0,0,0,81,0,1,31,2020-2021
   Moussa Dembélé,19,fr FRA,FW,24-284,15,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,31,2020-2021
Koke,6,es ESP,CM,29-104,90,78,77,1,0,0,0,1,0,1,0,0,0,73,0,0,31,2020-2021
Yannick Carrasco,21,be BEL,WB,27-230,83,35,34,1,0,0,0,2,1,0,0,0,0,26,0,1,31,2020-2021
   Geoffrey Kondogbia,4,cf CTA,"CM,AM",28-066,7,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,31,2020-2021
Kieran Trippier,23,eng ENG,WB,30-215,90,85,69,16,0,0,1,5,12,4,0,4,0,72,0,3,31,2020-2021
Renan Lodi,12,br BRA,CB,23-014,86,71,65,6,1,0,0,5,2,3,0,2,0,59,0,1,31,2020-2021
   Felipe,18,br BRA,CB,31-341,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2020-2021
José María Giménez,2,uy URU,CB,26-092,90,52,49,3,3,0,2,0,0,0,0,0,0,48,0,0,31,2020-2021
Stefan Savić,15,me MNE,CB,30-104,90,56,53,3,2,0,0,0,1,0,0,0,0,51,0,1,31,2020-2021
Jan Oblak,13,si SVN,GK,28-105,90,15,9,6,1,0,0,0,0,0,0,0,0,12,0,0,31,2020-2021
Rafa Mir,9,es ESP,FW,23-308,62,5,4,1,0,0,0,0,0,0,0,0,0,3,0,0,31,2020-2021
   Sandro Ramírez,6,es ESP,FW,25-287,28,12,11,1,0,0,0,1,0,0,0,0,0,9,0,1,31,2020-2021
Shinji Okazaki,12,jp JPN,FW,35-006,62,6,5,1,0,0,0,0,0,0,0,0,0,6,0,0,31,2020-2021
   David Ferreiro,7,es ESP,"CM,RM",33-021,28,13,12,1,0,0,2,3,0,1,1,0,0,9,0,0,31,2020-2021
Dani Escriche,23,es ESP,"CM,FW,LM",23-029,90,30,29,1,0,0,0,1,1,0,0,0,0,24,0,0,31,2020-2021
Pedro Mosquera,5,es ESP,CM,33-001,62,53,52,1,1,0,0,0,0,0,0,0,0,47,0,1,31,2020-2021
   Javi Galán,11,es ESP,"WB,LB",26-154,28,27,24,3,2,0,1,1,1,0,0,0,0,25,0,0,31,2020-2021
Idrissa Doumbia,2,ci CIV,CM,23-008,90,58,58,0,0,0,0,0,0,0,0,0,0,53,0,2,31,2020-2021
Sergio Gómez,10,es ESP,"WB,CM",20-230,84,47,40,7,2,0,1,4,5,0,0,0,0,39,0,1,31,2020-2021
   Pedro López Muñoz,19,es ESP,"RB,CM",37-172,6,7,5,2,0,0,0,1,2,0,0,0,0,6,0,0,31,2020-2021
Mikel Rico,17,es ESP,"WB,CM",36-169,90,52,47,4,1,0,1,3,3,0,0,0,0,37,1,3,31,2020-2021
Dimitris Siovas,18,gr GRE,CB,32-218,90,72,72,0,0,0,0,0,0,0,0,0,0,69,0,0,31,2020-2021
Jorge Pulido,14,es ESP,CB,30-014,90,66,65,1,0,0,0,0,1,0,0,0,0,62,0,1,31,2020-2021
Pablo Insua,4,es ESP,CB,27-225,84,65,65,0,0,0,0,0,0,0,0,0,0,57,0,0,31,2020-2021
   Borja García,24,es ESP,"FW,CB",30-171,6,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,31,2020-2021
Álvaro Fernández,1,es ESP,GK,23-009,90,41,30,11,2,0,0,0,0,0,0,0,0,37,0,0,31,2020-2021
Alexander Isak,19,se SWE,FW,21-213,67,13,11,2,0,0,0,1,0,0,0,0,0,8,0,0,31,2020-2021
   Ander Barrenetxea,22,es ESP,FW,19-116,23,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,31,2020-2021
