player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
   Abderrahman Rebbach,21,dz ALG,LW,25-042,24,7,10,70.0,146,86,2,4,50.0,3,3,100.0,1,1,100.0,0,0.2,0.0,2,1,0,0,1,6,2023-2024
Ianis Hagi,10,ro ROU,AM,24-335,66,9,16,56.3,175,77,4,5,80.0,3,6,50.0,2,5,40.0,0,0.1,0.1,2,1,1,0,2,6,2023-2024
   Samuel Omorodion,32,es ESP,FW,19-140,24,3,5,60.0,37,6,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,6,2023-2024
Ander Guevara,6,es ESP,DM,26-077,90,38,54,70.4,677,260,17,19,89.5,18,26,69.2,3,6,50.0,0,0.0,0.1,0,4,2,0,7,6,2023-2024
Carlos Benavídez,23,uy URU,DM,25-176,48,13,21,61.9,224,89,5,7,71.4,8,12,66.7,0,1,0.0,0,0.0,0.0,1,2,0,0,3,6,2023-2024
   Jon Guridi,18,es ESP,DM,28-206,42,23,31,74.2,362,81,13,16,81.3,8,9,88.9,1,3,33.3,0,0.0,0.0,0,1,0,0,5,6,2023-2024
Rubén Duarte,3,es ESP,LB,27-339,47,12,23,52.2,255,150,4,8,50.0,6,9,66.7,2,4,50.0,0,0.0,0.0,0,2,0,0,2,6,2023-2024
   Javi López,27,es ESP,LB,21-264,43,24,39,61.5,407,164,14,15,93.3,5,11,45.5,3,10,30.0,0,0.0,0.0,0,1,0,0,1,6,2023-2024
Aleksandar Sedlar,4,rs SRB,CB,31-283,90,36,43,83.7,759,264,9,10,90.0,20,26,76.9,6,6,100.0,0,0.0,0.0,1,2,0,0,1,6,2023-2024
Abdel Abqar,5,ma MAR,CB,24-196,90,22,29,75.9,517,218,5,7,71.4,10,13,76.9,5,7,71.4,0,0.0,0.0,0,1,0,0,1,6,2023-2024
Andoni Gorosabel,2,es ESP,RB,27-049,90,39,46,84.8,534,277,24,26,92.3,11,12,91.7,2,5,40.0,0,0.2,0.2,1,2,1,0,3,6,2023-2024
Antonio Sivera,1,es ESP,GK,27-042,90,27,38,71.1,978,751,5,5,100.0,7,7,100.0,15,26,57.7,0,0.0,0.0,0,2,0,0,0,6,2023-2024
Gorka Guruzeta,12,es ESP,FW,27-010,70,16,24,66.7,196,30,7,8,87.5,6,11,54.5,0,0,,0,0.0,0.0,0,1,0,0,1,6,2023-2024
   Asier Villalibre,20,es ESP,FW,25-357,20,8,11,72.7,115,21,5,7,71.4,3,3,100.0,0,0,,0,0.0,0.0,0,1,1,0,2,6,2023-2024
Álex Berenguer,7,es ESP,LW,28-080,63,12,20,60.0,189,3,8,8,100.0,1,3,33.3,2,6,33.3,0,0.0,0.0,0,0,0,0,1,6,2023-2024
   Iker Muniain,10,es ESP,LW,30-277,27,14,16,87.5,196,46,9,10,90.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,6,2023-2024
Iñaki Williams,9,gh GHA,RW,29-099,90,27,36,75.0,360,50,19,21,90.5,7,10,70.0,1,3,33.3,1,0.3,0.1,3,0,0,0,0,6,2023-2024
Oihan Sancet,8,es ESP,AM,23-150,90,41,52,78.8,529,127,27,31,87.1,9,11,81.8,2,3,66.7,0,0.3,0.2,2,6,0,0,5,6,2023-2024
Iñigo Ruiz de Galarreta,16,es ESP,DM,30-047,81,31,43,72.1,497,142,20,24,83.3,8,11,72.7,3,6,50.0,0,0.2,0.1,1,5,0,0,7,6,2023-2024
   Dani García,14,es ESP,DM,33-121,9,8,11,72.7,197,59,1,1,100.0,5,6,83.3,2,3,66.7,0,0.0,0.0,0,1,0,0,1,6,2023-2024
Mikel Vesga,6,es ESP,DM,30-124,90,40,54,74.1,628,249,25,30,83.3,10,13,76.9,4,8,50.0,1,0.5,0.2,1,2,1,0,8,6,2023-2024
Yuri Berchiche,17,es ESP,LB,33-224,81,25,33,75.8,420,84,14,14,100.0,8,11,72.7,3,4,75.0,0,0.0,0.0,0,2,0,0,2,6,2023-2024
   Iñigo Lekue,15,es ESP,LB,30-141,9,5,7,71.4,53,23,3,3,100.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,6,2023-2024
Aitor Paredes,4,es ESP,CB,23-146,70,45,48,93.8,931,388,14,15,93.3,24,25,96.0,6,7,85.7,0,0.0,0.0,0,4,0,0,4,6,2023-2024
   Yeray Álvarez,5,es ESP,CB,28-241,20,6,6,100.0,156,33,0,0,,4,4,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,6,2023-2024
Daniel Vivian,3,es ESP,CB,24-069,90,47,53,88.7,882,332,19,19,100.0,21,25,84.0,7,8,87.5,0,0.0,0.0,0,2,0,0,2,6,2023-2024
Óscar de Marcos,18,es ESP,RB,34-161,90,76,90,84.4,1228,624,37,39,94.9,36,41,87.8,3,7,42.9,0,0.0,0.1,0,9,3,0,11,6,2023-2024
Unai Simón,1,es ESP,GK,26-103,90,28,43,65.1,888,749,4,4,100.0,13,13,100.0,11,26,42.3,0,0.0,0.0,0,0,0,0,0,6,2023-2024
