player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Loren Morón,16,es ESP,FW,25-307,73,16,1,2,8,6,2,16,0,0,,0,,6,37,4,1,0,0,3,1,10,0,12,2019-2020
   Borja Iglesias,9,es ESP,FW,26-289,17,8,0,1,5,3,0,8,1,1,100.0,0,0.0,6,59,37,1,1,0,2,1,7,0,12,2019-2020
Nabil Fekir,8,fr FRA,FW,26-107,89,40,0,6,17,17,3,40,2,1,50.0,1,50.0,29,232,121,4,4,0,1,1,30,4,12,2019-2020
   Ismael,37,es ESP,FW,19-087,1,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,12,2019-2020
Sergio Canales,10,es ESP,CM,28-259,90,67,1,21,32,17,1,67,1,0,0.0,1,100.0,44,489,351,10,6,1,4,0,47,3,12,2019-2020
Marc Bartra,5,es ESP,CM,28-291,90,35,3,17,15,3,1,35,1,1,100.0,0,0.0,15,82,8,0,1,0,3,1,19,1,12,2019-2020
Andrés Guardado,18,mx MEX,CM,33-035,90,38,2,6,24,8,0,38,2,2,100.0,0,0.0,23,149,77,1,1,0,3,0,27,1,12,2019-2020
Álex Moreno,15,es ESP,LB,26-147,89,71,6,35,17,20,5,71,4,2,50.0,2,50.0,32,179,55,2,2,1,3,2,32,9,12,2019-2020
   Antonio Barragán,19,es ESP,LB,32-143,1,1,0,0,1,0,0,1,0,0,,0,,1,4,4,0,0,0,0,0,1,0,12,2019-2020
Sidnei,12,br BRA,CB,30-071,90,52,13,41,11,0,0,52,0,0,,0,,27,85,19,0,0,0,0,0,33,0,12,2019-2020
Zouhair Feddal,4,ma MAR,CB,30-305,90,54,19,39,15,1,1,54,0,0,,0,,22,118,56,1,0,0,0,0,30,1,12,2019-2020
Aïssa Mandi,23,dz ALG,CB,28-011,90,45,15,33,14,0,0,45,0,0,,0,,23,72,26,0,0,0,0,0,31,0,12,2019-2020
Emerson,22,br BRA,RB,20-292,90,42,3,22,9,11,1,42,0,0,,0,,22,153,109,2,2,0,3,1,22,0,12,2019-2020
Joel Robles,1,es ESP,GK,29-138,90,50,45,50,0,0,0,50,0,0,,0,,24,152,89,0,0,0,0,0,18,0,12,2019-2020
Enes Ünal,9,tr TUR,FW,22-177,90,44,0,2,24,19,5,43,2,1,50.0,1,50.0,26,132,57,1,3,0,4,1,34,7,12,2019-2020
Sergi Guardiola,7,es ESP,FW,28-158,71,28,0,3,13,13,2,28,1,1,100.0,0,0.0,22,150,65,2,3,1,4,1,22,7,12,2019-2020
   Sandro Ramírez,20,es ESP,FW,24-117,19,13,0,0,7,6,1,13,0,0,,0,,10,53,35,3,1,0,2,1,11,2,12,2019-2020
Toni Villa,19,es ESP,"LM,CM",24-300,90,52,3,10,31,11,1,52,5,3,60.0,2,40.0,35,223,99,2,1,1,1,1,36,4,12,2019-2020
Míchel,21,es ESP,CM,31-097,63,48,3,8,34,6,0,48,1,1,100.0,0,0.0,28,135,58,0,0,0,2,1,29,0,12,2019-2020
   Rubén Alcaraz,14,es ESP,CM,28-186,27,14,1,5,9,1,0,14,1,1,100.0,0,0.0,5,37,33,1,1,0,0,0,4,0,12,2019-2020
Joaquín Fernández,24,es ESP,CM,23-156,85,51,2,8,37,6,1,51,0,0,,0,,23,81,22,0,0,0,1,0,30,0,12,2019-2020
   Antoñito,18,es ESP,"RM,CM",31-314,5,4,0,0,3,1,1,4,1,0,0.0,1,100.0,1,18,0,0,0,0,0,0,2,1,12,2019-2020
Óscar Plano,10,es ESP,"RM,LM",28-265,90,43,2,9,19,16,4,43,1,1,100.0,0,0.0,20,71,39,1,0,1,1,1,23,4,12,2019-2020
Federico Barba,3,it ITA,LB,26-063,90,36,1,10,18,8,0,36,0,0,,0,,17,84,27,0,0,0,1,0,21,4,12,2019-2020
Mohammed Salisu,27,gh GHA,CB,20-200,90,45,10,27,19,0,0,45,1,1,100.0,0,0.0,23,125,28,0,0,0,0,0,24,0,12,2019-2020
Kiko Olivas,4,es ESP,CB,31-074,90,44,7,18,26,0,0,44,1,1,100.0,0,0.0,17,103,80,2,0,0,0,0,21,1,12,2019-2020
Javi Moyano,17,es ESP,RB,33-253,90,47,6,15,19,14,2,47,2,2,100.0,0,0.0,23,164,73,3,1,2,0,0,20,3,12,2019-2020
Jordi Masip,1,es ESP,GK,30-304,90,32,29,32,0,0,0,32,0,0,,0,,9,83,58,0,0,0,0,0,9,0,12,2019-2020
Ante Budimir,22,hr CRO,FW,28-104,90,30,0,3,12,16,7,30,1,1,100.0,0,0.0,24,112,42,3,2,0,8,0,27,8,12,2019-2020
Lago Junior,11,ci CIV,LM,28-307,90,47,0,6,19,23,6,47,6,4,66.7,2,33.3,42,289,132,4,3,4,2,4,38,7,12,2019-2020
Marc Pedraza,6,es ESP,CM,32-270,60,20,1,6,13,1,0,20,0,0,,0,,10,26,4,0,0,0,0,0,8,0,12,2019-2020
   Aleix Febas,23,es ESP,CM,23-274,30,19,0,1,12,6,4,19,1,1,100.0,0,0.0,18,140,109,4,2,1,1,1,16,3,12,2019-2020
Takefusa Kubo,26,jp JPN,CM,18-152,67,29,0,2,8,19,2,29,1,0,0.0,1,100.0,25,126,41,0,2,2,2,5,25,4,12,2019-2020
   Ariday Cabrera,7,es ESP,CM,31-038,23,11,0,0,6,5,0,11,1,0,0.0,1,100.0,6,36,2,0,0,0,2,1,6,2,12,2019-2020
Dani Rodríguez,14,es ESP,RM,31-150,90,52,0,11,29,12,0,52,2,0,0.0,2,100.0,35,276,162,5,1,0,3,0,34,3,12,2019-2020
Salva Sevilla,8,es ESP,DM,35-230,75,70,1,11,47,13,0,70,3,2,66.7,1,33.3,48,297,212,1,0,0,4,2,43,1,12,2019-2020
   Abdón Prats,9,es ESP,DM,26-331,15,4,0,0,1,3,2,4,0,0,,0,,3,11,4,0,0,0,0,0,4,1,12,2019-2020
Lumor Agbenyenu,3,gh GHA,LB,23-080,90,72,3,20,31,22,0,72,1,0,0.0,1,100.0,42,248,136,4,4,0,2,2,37,6,12,2019-2020
Antonio Raillo,21,es ESP,CB,28-026,90,48,5,27,19,2,1,48,0,0,,0,,27,150,75,1,1,0,1,0,22,0,12,2019-2020
Martin Valjent,24,sk SVK,CB,23-327,90,42,4,23,17,2,0,42,0,0,,0,,25,128,68,1,0,0,0,0,21,0,12,2019-2020
Joan Sastre Vanrell,2,es ESP,RB,22-187,90,49,1,12,18,19,2,49,2,1,50.0,1,50.0,23,154,99,4,4,0,1,2,23,2,12,2019-2020
Fabricio,13,es ESP,GK,31-307,90,36,33,36,0,0,0,36,0,0,,0,,19,94,49,0,0,0,0,0,14,0,12,2019-2020
Karl Toko Ekambi,17,cm CMR,FW,27-050,67,24,0,3,7,14,5,24,2,1,50.0,1,50.0,19,140,71,3,2,0,3,1,18,5,12,2019-2020
   Carlos Bacca,9,co COL,FW,33-056,23,6,0,1,2,3,2,6,2,1,50.0,1,50.0,4,23,11,0,0,0,0,0,4,1,12,2019-2020
