player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
   Manu Vallejo,15,es ESP,FW,22-304,30,9,9,0,0,0,0,0,0,0,0,0,0,4,0,0,17,2019-2020
Jaume Doménech,1,es ESP,GK,29-040,90,41,24,17,3,0,0,0,0,0,0,0,0,29,0,0,17,2019-2020
Karim Benzema,9,fr FRA,FW,31-361,90,45,43,2,0,0,0,0,0,0,0,0,0,41,0,0,17,2019-2020
Isco,22,es ESP,LW,27-238,68,45,44,1,1,0,0,4,0,0,0,0,0,38,0,1,17,2019-2020
   Gareth Bale,11,wls WAL,"RM,RW",30-152,22,8,7,1,0,0,0,2,1,0,0,0,0,4,0,1,17,2019-2020
Rodrygo,27,br BRA,RW,18-340,68,47,45,2,0,0,0,4,2,0,0,0,0,44,0,0,17,2019-2020
   Vinicius Júnior,25,br BRA,"LM,LW",19-156,22,11,10,1,0,0,0,0,1,0,0,0,0,9,0,0,17,2019-2020
Toni Kroos,8,de GER,"LM,CM",29-345,90,113,107,6,3,0,6,3,1,2,2,0,0,107,0,0,17,2019-2020
Federico Valverde,15,uy URU,CM,21-146,90,82,79,3,1,0,0,0,2,0,0,0,0,78,0,0,17,2019-2020
Luka Modrić,10,hr CRO,RM,34-097,80,77,76,1,1,0,2,2,0,0,0,0,0,66,0,1,17,2019-2020
   Luka Jović,18,rs SRB,FW,21-357,10,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,17,2019-2020
Nacho,6,es ESP,LB,29-331,90,60,54,6,2,0,0,6,4,0,0,0,0,49,0,0,17,2019-2020
Sergio Ramos,4,es ESP,CB,33-260,90,68,67,0,0,0,5,1,0,0,0,0,0,60,1,0,17,2019-2020
Raphaël Varane,5,fr FRA,CB,26-234,90,60,59,1,1,0,2,0,0,0,0,0,0,55,0,0,17,2019-2020
Dani Carvajal,2,es ESP,RB,27-338,90,90,84,6,1,0,0,6,5,0,0,0,0,73,0,1,17,2019-2020
Thibaut Courtois,13,be BEL,GK,27-218,90,33,24,9,2,0,0,0,0,0,0,0,0,27,0,0,17,2019-2020
Luis Suárez,9,uy URU,FW,32-328,90,31,29,2,0,0,1,0,1,0,0,0,0,22,0,1,10,2019-2020
Antoine Griezmann,17,fr FRA,LW,28-272,82,38,38,0,0,0,0,1,0,0,0,0,0,33,0,0,10,2019-2020
   Ansu Fati,31,es ESP,LW,17-048,8,5,4,1,0,0,0,2,0,1,1,0,0,3,0,2,10,2019-2020
Lionel Messi,10,ar ARG,RW,32-177,90,49,42,7,4,1,0,1,2,1,1,0,0,40,0,0,10,2019-2020
Frenkie de Jong,21,nl NED,LM,22-220,90,65,65,0,0,0,0,0,0,0,0,0,0,58,0,1,10,2019-2020
Ivan Rakitić,4,hr CRO,CM,31-283,90,81,76,5,5,0,0,0,0,0,0,0,0,78,0,0,10,2019-2020
Sergi Roberto,20,es ESP,"RM,RB",27-314,90,62,60,1,0,0,0,1,1,0,0,0,0,53,1,0,10,2019-2020
Jordi Alba,18,es ESP,LB,30-272,90,63,55,8,2,0,1,3,6,0,0,0,0,49,0,2,10,2019-2020
Clément Lenglet,15,fr FRA,CB,24-184,90,78,76,2,2,0,0,0,0,0,0,0,0,73,0,0,10,2019-2020
Gerard Piqué,3,es ESP,CB,32-319,90,46,45,1,1,0,0,0,0,0,0,0,0,40,0,0,10,2019-2020
Nélson Semedo,2,pt POR,RB,26-032,54,29,24,5,0,0,0,0,5,0,0,0,0,26,0,0,10,2019-2020
   Arturo Vidal,22,cl CHI,RM,32-210,36,18,18,0,0,0,1,0,0,0,0,0,0,17,0,0,10,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-232,90,53,40,13,4,0,0,0,0,0,0,0,0,45,0,0,10,2019-2020
Karim Benzema,9,fr FRA,FW,31-364,90,46,45,1,0,0,0,2,0,0,0,0,0,39,0,0,10,2019-2020
Gareth Bale,11,wls WAL,"FW,RW",30-155,90,51,46,4,0,0,1,5,4,0,0,0,0,37,1,0,10,2019-2020
Isco,22,es ESP,AM,27-241,79,44,44,0,0,0,0,3,0,0,0,0,0,36,0,1,10,2019-2020
   Rodrygo,27,br BRA,"LW,AM",18-343,11,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,10,2019-2020
Toni Kroos,8,de GER,LM,29-348,90,80,72,8,2,0,3,5,0,6,3,1,0,73,0,0,10,2019-2020
Federico Valverde,15,uy URU,RM,21-149,79,40,40,0,0,0,0,0,0,0,0,0,0,37,0,0,10,2019-2020
   Luka Modrić,10,hr CRO,RM,34-100,11,18,18,0,0,0,0,0,0,0,0,0,0,17,0,1,10,2019-2020
Casemiro,14,br BRA,"DM,CM",27-298,90,68,66,1,1,0,1,0,0,0,0,0,0,57,1,0,10,2019-2020
Ferland Mendy,23,fr FRA,LB,24-193,90,65,55,10,0,0,0,10,10,0,0,0,0,51,0,3,10,2019-2020
Sergio Ramos,4,es ESP,CB,33-263,90,42,41,1,1,0,0,0,0,0,0,0,0,32,0,0,10,2019-2020
Raphaël Varane,5,fr FRA,CB,26-237,90,33,33,0,0,0,0,0,0,0,0,0,0,26,0,0,10,2019-2020
Dani Carvajal,2,es ESP,RB,27-341,90,68,57,11,1,0,0,7,10,0,0,0,0,59,0,4,10,2019-2020
Thibaut Courtois,13,be BEL,GK,27-221,90,17,12,5,1,0,0,0,0,0,0,0,0,15,0,0,10,2019-2020
