player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Zouhair Feddal,4,ma MAR,CB,29-236,90,0,0,0,0,2,0,1,0,3,0,0,0,10,3,1,75.0,2,2018-2019
Marc Bartra,5,es ESP,CB,27-222,90,1,0,0,2,3,0,0,1,1,0,0,0,3,4,0,100.0,2,2018-2019
Aïssa Mandi,23,dz ALG,CB,26-307,90,0,0,0,1,0,0,0,1,2,0,0,0,4,4,0,100.0,2,2018-2019
Pau López,13,es ESP,GK,23-255,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Diego Costa,19,es ESP,FW,29-322,90,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,0.0,2,2018-2019
Antoine Griezmann,7,fr FRA,FW,27-157,75,0,0,0,1,1,1,5,0,1,0,0,0,2,0,1,0.0,2,2018-2019
   Gelson Martins,18,pt POR,RW,23-106,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,2,2018-2019
Thomas Lemar,11,fr FRA,"LM,LW,RM",22-286,90,0,0,0,0,0,1,4,4,0,0,0,0,8,0,0,,2,2018-2019
Saúl Ñíguez,8,es ESP,CM,23-277,90,0,0,0,1,0,0,1,0,6,0,0,0,10,3,0,100.0,2,2018-2019
Rodri,14,es ESP,CM,22-064,90,0,0,0,0,0,0,0,1,3,0,0,0,6,0,1,0.0,2,2018-2019
Ángel Correa,10,ar ARG,RM,23-169,65,0,0,0,0,2,1,3,0,1,0,0,0,3,0,0,,2,2018-2019
   Koke,6,es ESP,"CM,LM",26-229,25,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,2,2018-2019
Lucas Hernández,21,fr FRA,LB,22-192,90,0,0,0,0,1,0,5,0,4,0,0,0,0,3,0,100.0,2,2018-2019
Diego Godín,2,uy URU,CB,32-190,90,0,0,0,2,1,0,0,4,0,0,0,0,8,3,0,100.0,2,2018-2019
Stefan Savić,15,me MNE,CB,27-229,90,0,0,0,0,0,0,0,3,1,0,0,0,5,4,0,100.0,2,2018-2019
Juanfran,20,es ESP,RB,33-228,35,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,2,2018-2019
   Thomas Partey,5,gh GHA,RB,25-073,55,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,,2,2018-2019
Jan Oblak,13,si SVN,GK,25-230,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,2018-2019
Adri Embarba,11,es ESP,"FW,LM,RM",26-110,90,0,0,0,0,1,0,10,3,1,0,0,0,6,0,2,0.0,2,2018-2019
Álvaro García,18,es ESP,LM,25-302,76,1,0,0,1,0,0,2,2,0,0,0,0,7,0,0,,2,2018-2019
   Sergio Moreno,29,es ESP,FW,19-236,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Santi Comesaña,27,es ESP,CM,21-324,68,0,0,0,0,0,0,1,1,2,0,0,0,4,2,1,66.7,2,2018-2019
   José Pozo,22,es ESP,"RM,FW,CM",22-163,22,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,2,2018-2019
Óscar Trejo,8,ar ARG,CM,30-121,90,0,0,0,1,0,0,2,1,3,0,0,0,7,0,1,0.0,2,2018-2019
Gaël Kakuta,10,cd COD,RM,27-065,68,0,0,0,0,1,0,2,1,0,0,0,0,7,0,3,0.0,2,2018-2019
   Álvaro Medrán,4,es ESP,"CM,RM",24-163,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,2,2018-2019
Gorka Elustondo,6,es ESP,DM,31-160,90,0,0,0,1,1,0,0,4,1,0,0,0,3,1,3,25.0,2,2018-2019
Álex Moreno,7,es ESP,LB,25-078,90,0,0,0,2,0,1,3,2,2,0,0,0,3,0,0,,2,2018-2019
Jordi Amat,16,id IDN,CB,26-157,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,2,2018-2019
Abdoulaye Ba,21,sn SEN,CB,27-236,90,0,0,0,1,0,0,0,2,3,0,0,0,10,0,0,,2,2018-2019
Luis Advíncula,17,pe PER,RB,28-176,90,0,0,0,2,1,0,2,0,2,0,0,0,4,0,2,0.0,2,2018-2019
Alberto García,1,es ESP,GK,33-197,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,2018-2019
Óscar Plano,10,es ESP,"FW,LM",27-195,90,0,0,0,0,1,1,3,0,0,0,0,0,6,0,1,0.0,2,2018-2019
Enes Ünal,9,tr TUR,FW,21-107,69,1,0,0,2,1,0,0,0,0,0,0,0,2,3,3,50.0,2,2018-2019
   Duje Čop,20,hr CRO,FW,28-205,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,2,2018-2019
Toni Villa,19,es ESP,"AM,LM",23-230,86,0,0,0,0,2,0,2,2,1,0,0,0,10,0,1,0.0,2,2018-2019
   Daniele Verde,11,it ITA,FW,22-066,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,2,2018-2019
Rubén Alcaraz,14,es ESP,"LM,CM",27-116,90,0,0,0,3,2,0,6,1,3,0,0,0,4,1,1,50.0,2,2018-2019
Borja Fernández,8,es ESP,CM,37-223,63,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,,2,2018-2019
   Keko,24,es ESP,RM,26-241,27,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,,2,2018-2019
Anuar,23,ma MAR,"RM,CM",23-222,90,0,0,0,3,1,0,1,1,1,0,0,0,6,0,1,0.0,2,2018-2019
Nacho,22,es ESP,LB,29-171,90,0,0,0,1,0,0,4,1,4,0,0,0,5,0,0,,2,2018-2019
Fernando Calero,5,es ESP,CB,22-345,90,0,0,0,0,0,0,0,2,1,0,0,0,8,4,1,80.0,2,2018-2019
Kiko Olivas,4,es ESP,CB,30-004,90,0,0,0,0,1,0,0,3,1,0,0,0,8,1,0,100.0,2,2018-2019
Javi Moyano,17,es ESP,RB,32-183,90,0,0,0,1,0,0,0,3,1,0,0,0,4,0,3,0.0,2,2018-2019
Jordi Masip,1,es ESP,GK,29-234,90,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,2,2018-2019
Luis Suárez,9,uy URU,FW,31-213,89,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,,2,2018-2019
   Munir El Haddadi,19,ma MAR,FW,22-358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Ousmane Dembélé,11,fr FRA,LW,21-102,75,0,0,0,2,2,0,6,0,0,0,0,0,4,1,0,100.0,2,2018-2019
   Arturo Vidal,22,cl CHI,RM,31-095,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2,2018-2019
Lionel Messi,10,ar ARG,"RW,FW",31-062,90,0,0,0,1,1,0,3,0,0,0,0,0,2,0,1,0.0,2,2018-2019
Philippe Coutinho,7,br BRA,LM,26-074,83,0,0,0,2,1,0,2,0,0,0,0,0,2,0,1,0.0,2,2018-2019
   Malcom,14,br BRA,LM,21-180,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,2,2018-2019
Sergio Busquets,5,es ESP,CM,30-040,90,0,0,0,1,4,0,0,0,1,0,0,0,7,3,2,60.0,2,2018-2019
Ivan Rakitić,4,hr CRO,"RM,CM",30-168,90,0,0,0,2,0,0,1,1,0,0,0,0,6,2,1,66.7,2,2018-2019
Jordi Alba,18,es ESP,LB,29-157,90,0,0,0,1,0,0,3,0,2,0,0,0,10,0,1,0.0,2,2018-2019
Samuel Umtiti,23,fr FRA,CB,24-284,90,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0.0,2,2018-2019
Gerard Piqué,3,es ESP,CB,31-204,90,1,0,0,1,1,0,0,1,1,0,0,0,11,4,1,80.0,2,2018-2019
Sergi Roberto,20,es ESP,RB,26-199,90,0,0,0,0,1,0,0,3,2,0,0,0,5,0,0,,2,2018-2019
Marc-André ter Stegen,1,de GER,GK,26-117,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,2,2018-2019
Borja Iglesias,7,es ESP,FW,25-221,90,0,0,0,2,1,2,0,0,1,0,0,0,4,3,0,100.0,2,2018-2019
Sergio García,9,es ESP,LM,35-078,70,0,0,0,0,1,0,4,1,0,0,0,0,4,1,0,100.0,2,2018-2019
   Hernán Pérez,17,py PAR,"RM,LM",29-182,20,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,,2,2018-2019
Esteban Granero,23,es ESP,CM,31-055,79,0,0,0,1,2,0,6,0,0,0,0,0,5,2,1,66.7,2,2018-2019
   Víctor Sánchez,4,es ESP,CM,30-352,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,2,2018-2019
Sergi Darder,10,es ESP,CM,24-247,90,0,0,0,0,2,0,0,1,2,0,0,0,5,0,1,0.0,2,2018-2019
Léo Baptistão,11,br BRA,RM,26-000,75,0,0,0,2,2,0,1,3,1,0,0,0,6,0,1,0.0,2,2018-2019
   Pablo Piatti,19,ar ARG,"LM,RM",29-148,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Marc Roca,21,es ESP,DM,21-273,90,0,0,0,4,0,0,0,1,1,0,0,0,5,0,1,0.0,2,2018-2019
Dídac Vilà,12,es ESP,LB,29-078,90,0,0,0,1,0,0,4,3,2,0,0,0,7,3,0,100.0,2,2018-2019
Mario Hermoso,22,es ESP,CB,23-069,90,1,0,0,2,0,0,0,2,1,0,0,0,6,3,1,75.0,2,2018-2019
David López,15,es ESP,CB,28-321,90,0,0,0,1,1,0,0,2,0,0,0,0,5,1,1,50.0,2,2018-2019
Javi López,16,es ESP,RB,32-217,90,0,0,0,2,1,0,5,0,2,0,0,0,6,1,0,100.0,2,2018-2019
Diego López,13,es ESP,GK,36-296,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,2018-2019
Santi Mina,22,es ESP,FW,22-262,66,0,0,0,0,1,1,0,1,0,0,0,0,2,1,1,50.0,2,2018-2019
   Kévin Gameiro,9,fr FRA,FW,31-109,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Rodrigo,19,es ESP,FW,27-173,73,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,66.7,2,2018-2019
   Michy Batshuayi,23,be BEL,FW,24-328,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,2,2018-2019
Daniel Wass,18,dk DEN,LM,29-087,63,0,0,0,0,3,0,0,2,0,0,0,0,4,1,1,50.0,2,2018-2019
   Denis Cheryshev,11,ru RUS,LM,27-243,27,0,0,0,1,1,0,2,0,2,0,0,0,1,0,0,,2,2018-2019
Geoffrey Kondogbia,6,cf CTA,CM,25-192,90,0,0,0,0,1,0,0,2,5,0,0,0,12,1,2,33.3,2,2018-2019
Daniel Parejo,10,es ESP,CM,29-132,90,0,0,0,2,1,0,7,0,2,0,0,0,5,0,3,0.0,2,2018-2019
Carlos Soler,8,es ESP,RM,21-236,90,0,0,0,0,2,0,3,0,1,0,0,0,3,0,0,,2,2018-2019
José Luis Gayà,14,es ESP,LB,23-093,90,0,0,0,3,2,0,7,3,3,0,0,0,6,1,1,50.0,2,2018-2019
Mouctar Diakhaby,12,gn GUI,CB,21-250,90,1,0,0,3,0,0,0,2,0,0,0,0,8,0,3,0.0,2,2018-2019
Gabriel Paulista,5,br BRA,CB,27-273,90,0,0,0,1,1,0,0,2,1,0,0,0,9,0,0,,2,2018-2019
Cristiano Piccini,21,it ITA,RB,25-334,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,2,2018-2019
Neto,13,br BRA,GK,29-038,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2018-2019
Anthony Lozano,19,hn HON,FW,25-123,57,0,0,0,4,0,0,0,0,0,0,0,0,1,2,4,33.3,2,2018-2019
   Cristhian Stuani,7,uy URU,FW,31-318,33,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,50.0,2,2018-2019
Borja García,10,es ESP,LW,27-297,90,0,0,0,0,3,0,1,2,0,0,0,0,5,0,0,,2,2018-2019
Portu,9,es ESP,RW,26-097,90,0,0,0,1,4,1,4,0,0,0,0,0,4,1,2,33.3,2,2018-2019
Álex Granell,6,es ESP,"LM,RM",30-024,90,0,0,0,0,1,0,4,0,2,0,0,0,1,3,1,75.0,2,2018-2019
David Timor,24,es ESP,CM,28-313,90,0,0,0,1,0,0,0,1,0,0,0,0,3,1,1,50.0,2,2018-2019
Pere Pons,8,es ESP,RM,25-187,70,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,,2,2018-2019
