player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Luis Advíncula,17,pe PER,RB,28-282,90,1,1,0,1,0,1,1,100.0,0,1,0,1,2,3,2,0,15,2018-2019
Stole Dimitrievski,13,mk MKD,GK,24-349,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Aritz Aduriz,20,es ESP,FW,37-302,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,15,2018-2019
Iñigo Córdoba,11,es ESP,LW,21-272,81,3,2,1,2,0,1,2,50.0,1,1,0,1,0,3,0,0,15,2018-2019
   Iker Muniain,10,es ESP,LW,25-356,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Iñaki Williams,9,gh GHA,RW,24-178,61,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,15,2018-2019
   Markel Susaeta,14,es ESP,RW,30-361,29,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,15,2018-2019
Raúl García,22,es ESP,AM,32-152,90,2,2,0,0,2,0,1,0.0,1,3,0,3,0,2,2,0,15,2018-2019
Beñat Etxebarria,7,es ESP,DM,31-294,75,1,0,0,0,1,0,0,,0,0,0,0,1,2,0,0,15,2018-2019
   Mikel San José,6,es ESP,DM,29-194,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Dani García,16,es ESP,DM,28-200,90,4,4,1,3,0,0,0,,0,2,0,2,2,6,2,0,15,2018-2019
Óscar de Marcos,18,es ESP,LB,29-240,90,4,2,1,3,0,0,0,,0,1,0,1,2,6,1,0,15,2018-2019
Unai Núñez,3,es ESP,CB,21-314,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,15,2018-2019
Yeray Álvarez,5,es ESP,CB,23-320,90,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0,15,2018-2019
Ander Capa,21,es ESP,RB,26-305,90,2,1,0,1,1,0,0,,0,1,0,1,4,6,1,0,15,2018-2019
Iago Herrerín,13,es ESP,GK,30-319,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
