player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Leandro Cabrera,6,uy URU,CB,27-133,90,13,23,56.5,409,268,2,4,50.0,7,8,87.5,4,9,44.4,0,0.0,0.0,0,1,0,0,2,10,2018-2019
Djené,2,tg TOG,CB,26-301,90,14,16,87.5,322,93,3,4,75.0,10,10,100.0,1,2,50.0,0,0.0,0.0,0,1,2,1,2,10,2018-2019
Damián Suárez,22,uy URU,RB,30-184,90,40,58,69.0,715,384,17,20,85.0,19,25,76.0,3,9,33.3,0,0.1,0.1,1,3,1,0,5,10,2018-2019
David Soria,13,es ESP,GK,25-207,90,9,22,40.9,391,342,0,0,,3,3,100.0,6,17,35.3,0,0.0,0.0,0,2,0,0,0,10,2018-2019
Antonio Sanabria,9,py PAR,FW,22-238,90,6,12,50.0,89,20,2,5,40.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,1,0,1,10,2018-2019
Loren Morón,16,es ESP,FW,24-302,90,19,25,76.0,283,74,12,13,92.3,4,7,57.1,2,3,66.7,0,0.0,0.0,0,1,1,0,3,10,2018-2019
Giovani Lo Celso,21,ar ARG,CM,22-202,90,38,48,79.2,512,88,21,24,87.5,14,16,87.5,0,0,,0,0.0,0.0,0,2,0,0,4,10,2018-2019
William Carvalho,14,pt POR,CM,26-204,90,69,82,84.1,1235,224,25,28,89.3,33,39,84.6,7,8,87.5,0,0.0,0.1,1,8,2,0,4,10,2018-2019
Ryad Boudebouz,10,dz ALG,CM,28-251,60,23,27,85.2,434,73,11,12,91.7,9,10,90.0,3,3,100.0,0,0.2,0.2,1,0,0,0,5,10,2018-2019
   Sergio Canales,6,es ESP,CM,27-254,30,23,25,92.0,420,92,9,9,100.0,11,11,100.0,2,3,66.7,0,0.1,0.1,2,2,3,2,3,10,2018-2019
Junior Firpo,20,es ESP,"WB,CB",22-067,90,59,79,74.7,819,285,33,38,86.8,20,27,74.1,3,7,42.9,0,0.1,0.1,1,5,1,1,5,10,2018-2019
Antonio Barragán,19,es ESP,WB,31-138,90,50,62,80.6,845,346,19,20,95.0,26,30,86.7,3,6,50.0,0,0.1,0.1,1,4,2,1,5,10,2018-2019
Sidnei,12,br BRA,CB,29-066,70,54,58,93.1,1118,237,17,18,94.4,26,26,100.0,10,13,76.9,0,0.0,0.0,1,5,0,0,4,10,2018-2019
   Cristian Tello,11,es ESP,"WB,CB",27-078,20,6,8,75.0,78,9,4,4,100.0,0,2,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,10,2018-2019
