player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season,Equipo,unique_id,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions
Jordi Masip,1,es ESP,GK,34-033,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Valladolid ,Jordi Masip_Valladolid _20,4.0,0.0,4.0,100.0,0.8,5.0,13.0,38.5,30.0,6.0,30.0,33.9,8.0,50.0,40.4,9.0,0.0,0.0,1.0,21.5
Marc-André ter Stegen,1,de GER,GK,30-281,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Barcelona ,Marc-André ter Stegen_Barcelona _20,1.0,0.0,1.0,100.0,0.0,2.0,5.0,40.0,37.0,3.0,10.8,23.6,3.0,33.3,30.7,5.0,0.0,0.0,0.0,
Yassine Bounou,13,ma MAR,GK,31-306,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Sevilla ,Yassine Bounou_Sevilla _20,7.0,3.0,4.0,57.1,3.4,4.0,13.0,30.8,34.0,4.0,32.4,34.3,5.0,40.0,35.4,21.0,3.0,14.3,0.0,6.0
Stole Dimitrievski,1,mk MKD,GK,29-043,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Rayo Vallecano ,Stole Dimitrievski_Rayo Vallecano _20,5.0,0.0,5.0,100.0,1.1,4.0,19.0,21.1,29.0,10.0,55.2,44.0,9.0,33.3,33.0,24.0,4.0,16.7,1.0,13.1
Fernando,13,es ESP,GK,32-241,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,2022-2023,Almería ,Fernando_Almería _20,11.0,2.0,10.0,81.8,2.9,6.0,15.0,40.0,29.0,5.0,41.4,36.0,6.0,50.0,40.7,9.0,1.0,11.1,0.0,11.5
Benjamin Lecomte,13,fr FRA,GK,31-115,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Espanyol ,Benjamin Lecomte_Espanyol _2,3.0,2.0,1.0,33.3,0.8,4.0,6.0,66.7,18.0,4.0,22.2,30.2,8.0,25.0,27.4,4.0,0.0,0.0,4.0,25.0
Stole Dimitrievski,1,mk MKD,GK,28-237,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2,2022-2023,Rayo Vallecano ,Stole Dimitrievski_Rayo Vallecano _2,1.0,0.0,1.0,100.0,0.2,2.0,20.0,10.0,30.0,7.0,40.0,38.3,13.0,61.5,46.5,27.0,1.0,3.7,0.0,6.5
Yassine Bounou,13,ma MAR,GK,31-136,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Sevilla ,Yassine Bounou_Sevilla _2,3.0,1.0,2.0,66.7,1.0,6.0,8.0,75.0,29.0,5.0,27.6,32.6,5.0,0.0,19.4,5.0,0.0,0.0,2.0,21.7
Sergio Asenjo,25,es ESP,GK,33-052,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,2,2022-2023,Valladolid ,Sergio Asenjo_Valladolid _2,2.0,1.0,1.0,50.0,0.9,8.0,27.0,29.6,33.0,5.0,42.4,38.4,16.0,81.3,58.0,33.0,0.0,0.0,3.0,21.5
Sergio Herrera,1,es ESP,GK,29-076,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Osasuna ,Sergio Herrera_Osasuna _2,2.0,0.0,2.0,100.0,0.3,7.0,22.0,31.8,20.0,2.0,65.0,48.5,10.0,90.0,62.9,7.0,0.0,0.0,0.0,
Jeremías Ledesma,1,ar ARG,GK,29-188,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Cádiz ,Jeremías Ledesma_Cádiz _2,3.0,2.0,1.0,100.0,2.2,5.0,18.0,27.8,26.0,5.0,42.3,37.9,11.0,63.6,50.5,16.0,0.0,0.0,0.0,18.0
Predrag Rajković,1,rs SRB,GK,26-293,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Mallorca ,Predrag Rajković_Mallorca _2,3.0,2.0,1.0,100.0,2.1,7.0,11.0,63.6,26.0,4.0,30.8,30.0,9.0,33.3,39.3,11.0,0.0,0.0,1.0,17.7
Rui Silva,13,pt POR,GK,28-194,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Betis ,Rui Silva_Betis _2,7.0,1.0,6.0,85.7,1.7,5.0,19.0,26.3,29.0,5.0,48.3,38.2,6.0,83.3,57.8,16.0,1.0,6.3,0.0,9.3
Agustín Marchesín,1,ar ARG,GK,34-157,90,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Celta Vigo ,Agustín Marchesín_Celta Vigo _2,7.0,4.0,2.0,57.1,4.3,4.0,8.0,50.0,20.0,2.0,35.0,30.0,5.0,20.0,28.6,5.0,0.0,0.0,1.0,23.0
Thibaut Courtois,1,be BEL,GK,30-101,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2,2022-2023,Real Madrid ,Thibaut Courtois_Real Madrid _2,2.0,1.0,1.0,100.0,1.2,1.0,9.0,11.1,37.0,6.0,13.5,24.9,8.0,50.0,42.3,19.0,2.0,10.5,0.0,4.3
Unai Simón,1,es ESP,GK,25-071,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2022-2023,Athletic Club ,Unai Simón_Athletic Club _2,0.0,0.0,0.0,,0.0,5.0,15.0,33.3,23.0,6.0,43.5,39.7,8.0,62.5,54.0,23.0,2.0,8.7,0.0,6.0
Giorgi Mamardashvili,28,ge GEO,GK,21-326,90,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2,2022-2023,Valencia ,Giorgi Mamardashvili_Valencia _2,2.0,1.0,1.0,50.0,1.0,2.0,9.0,22.2,38.0,8.0,21.1,25.3,2.0,50.0,36.0,16.0,2.0,12.5,3.0,15.9
