Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Matchweek,Season
Fernando,20,br BRA,DM,36-017,68,0,0,0,0,0,0,0,0,41.0,2.0,1,2.0,0.0,0.0,0.0,1.0,0.0,25.0,30.0,83.3,2.0,24.0,0.0,3.0,1.0,1,2023-2024
   Djibril Sow,18,ch SUI,DM,26-186,22,0,0,0,0,0,0,0,0,12.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,1.0,7.0,0.0,0.0,0.0,1,2023-2024
Marcos Acuña,19,ar ARG,LB,31-287,90,0,0,0,0,2,0,1,0,80.0,2.0,3,2.0,0.1,0.1,0.1,4.0,0.0,49.0,68.0,72.1,5.0,36.0,2.0,3.0,1.0,1,2023-2024
Nemanja Gudelj,6,rs SRB,CB,31-268,90,0,0,0,0,0,0,1,0,69.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,63.0,68.3,4.0,44.0,0.0,0.0,0.0,1,2023-2024
Loïc Bade,22,fr FRA,CB,23-122,80,0,0,0,0,0,0,0,1,49.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,40.0,46.0,87.0,2.0,28.0,0.0,0.0,0.0,1,2023-2024
Jesús Navas,16,es ESP,RB,37-263,68,0,0,0,0,0,0,0,0,49.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,42.0,76.2,2.0,25.0,0.0,1.0,0.0,1,2023-2024
   Juanlu Sánchez,26,es ESP,RB,19-361,22,0,0,0,0,0,0,0,0,15.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,13.0,84.6,0.0,8.0,1.0,2.0,2.0,1,2023-2024
Yassine Bounou,13,ma MAR,GK,32-128,90,0,0,0,0,0,0,0,0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0,64.5,0.0,16.0,0.0,0.0,0.0,1,2023-2024
Youssef En-Nesyri,15,ma MAR,FW,26-071,81,1,0,0,0,4,2,0,0,18.0,0.0,0,1.0,0.6,0.6,0.0,0.0,0.0,3.0,6.0,50.0,0.0,8.0,1.0,3.0,0.0,1,2023-2024
   Federico Gattoni,2,ar ARG,CB,24-176,9,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,2.0,0.0,0.0,0.0,1,2023-2024
Érik Lamela,17,ar ARG,LW,31-160,55,0,0,0,0,0,0,0,0,24.0,6.0,0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,85.7,0.0,9.0,0.0,1.0,0.0,1,2023-2024
   Óliver Torres,21,es ESP,AM,28-274,35,0,0,0,0,0,0,0,0,21.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,72.2,1.0,13.0,1.0,1.0,0.0,1,2023-2024
Lucas Ocampos,5,ar ARG,"RW,LW",29-031,90,0,0,0,0,1,0,0,0,40.0,2.0,1,1.0,0.0,0.0,0.0,1.0,0.0,15.0,26.0,57.7,1.0,28.0,4.0,4.0,0.0,1,2023-2024
Suso,7,es ESP,"AM,RW",29-265,90,0,1,0,0,1,1,0,0,47.0,1.0,0,1.0,0.0,0.0,0.5,4.0,2.0,23.0,39.0,59.0,3.0,32.0,3.0,3.0,1.0,1,2023-2024
Ivan Rakitić,10,hr CRO,DM,35-154,90,0,0,0,0,1,0,1,0,81.0,3.0,1,0.0,0.0,0.0,0.0,2.0,0.0,46.0,69.0,66.7,2.0,40.0,3.0,5.0,2.0,1,2023-2024
Fernando,20,br BRA,DM,36-017,68,0,0,0,0,0,0,0,0,41.0,2.0,1,2.0,0.0,0.0,0.0,1.0,0.0,25.0,30.0,83.3,2.0,24.0,0.0,3.0,1.0,1,2023-2024
   Djibril Sow,18,ch SUI,DM,26-186,22,0,0,0,0,0,0,0,0,12.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,1.0,7.0,0.0,0.0,0.0,1,2023-2024
Marcos Acuña,19,ar ARG,LB,31-287,90,0,0,0,0,2,0,1,0,80.0,2.0,3,2.0,0.1,0.1,0.1,4.0,0.0,49.0,68.0,72.1,5.0,36.0,2.0,3.0,1.0,1,2023-2024
Nemanja Gudelj,6,rs SRB,CB,31-268,90,0,0,0,0,0,0,1,0,69.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,63.0,68.3,4.0,44.0,0.0,0.0,0.0,1,2023-2024
Loïc Bade,22,fr FRA,CB,23-122,80,0,0,0,0,0,0,0,1,49.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,40.0,46.0,87.0,2.0,28.0,0.0,0.0,0.0,1,2023-2024
Jesús Navas,16,es ESP,RB,37-263,68,0,0,0,0,0,0,0,0,49.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,42.0,76.2,2.0,25.0,0.0,1.0,0.0,1,2023-2024
   Juanlu Sánchez,26,es ESP,RB,19-361,22,0,0,0,0,0,0,0,0,15.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,13.0,84.6,0.0,8.0,1.0,2.0,2.0,1,2023-2024
Yassine Bounou,13,ma MAR,GK,32-128,90,0,0,0,0,0,0,0,0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,31.0,64.5,0.0,16.0,0.0,0.0,0.0,1,2023-2024
Carlos Fernández,9,es ESP,FW,27-082,58,0,0,0,0,2,0,0,0,17.0,3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,54.5,2.0,7.0,0.0,0.0,0.0,1,2023-2024
   Ander Barrenetxea,7,es ESP,LW,21-228,32,0,0,0,0,0,0,0,0,21.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,10.0,16.0,62.5,1.0,19.0,1.0,3.0,2.0,1,2023-2024
Mikel Oyarzabal,10,es ESP,"LW,FW",26-113,73,0,0,0,0,1,1,0,0,23.0,1.0,0,0.0,0.1,0.1,0.0,2.0,0.0,9.0,14.0,64.3,0.0,18.0,2.0,2.0,1.0,1,2023-2024
   Umar Sadiq,19,ng NGA,FW,26-191,17,0,0,0,0,2,0,0,0,6.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,1.0,3.0,33.3,1.0,4.0,0.0,2.0,1.0,1,2023-2024
Takefusa Kubo,14,jp JPN,RW,22-069,73,1,0,0,0,3,1,0,0,29.0,2.0,2,1.0,0.3,0.3,0.0,1.0,0.0,13.0,17.0,76.5,4.0,19.0,2.0,2.0,1.0,1,2023-2024
   Mohamed Ali Cho,11,fr FRA,RW,19-205,17,0,0,0,0,0,0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,1.0,7.0,2.0,2.0,1.0,1,2023-2024
Beñat Turrientes,22,es ESP,LM,21-193,79,0,0,0,0,1,0,0,0,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,4.0,18.0,1.0,1.0,0.0,1,2023-2024
   Olasagasti,16,es ESP,LM,22-361,11,0,0,0,0,1,0,1,0,10.0,1.0,0,0.0,0.2,0.2,0.0,0.0,0.0,5.0,7.0,71.4,2.0,3.0,0.0,0.0,0.0,1,2023-2024
Martín Zubimendi,4,es ESP,CM,24-191,90,0,0,0,0,1,0,0,0,52.0,1.0,0,1.0,0.0,0.0,0.0,4.0,0.0,42.0,47.0,89.4,5.0,34.0,2.0,2.0,1.0,1,2023-2024
