player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Javi Galán,17,es ESP,LB,28-182,90,0,0,0,3,4,0,1,2,5,0,0,0,10,1,1,50.0,35,2022-2023
Unai Núñez,4,es ESP,CB,26-110,90,0,0,0,0,1,0,0,3,5,0,0,0,8,2,2,50.0,35,2022-2023
Joseph Aidoo,15,gh GHA,CB,27-233,90,0,0,0,0,0,0,0,3,1,0,0,0,3,0,2,0.0,35,2022-2023
Kevin Vázquez,20,es ESP,RB,30-058,45,0,0,0,1,0,0,0,0,3,0,0,0,5,0,0,,35,2022-2023
   Óscar Mingueza,3,es ESP,RB,24-007,45,0,0,0,1,1,0,1,1,4,0,0,0,1,1,1,50.0,35,2022-2023
Iván Villar,13,es ESP,GK,25-315,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,35,2022-2023
Enes Ünal,10,tr TUR,FW,26-010,90,1,0,0,2,1,1,1,0,1,0,0,0,1,6,4,60.0,35,2022-2023
Munir El Haddadi,17,ma MAR,AM,27-261,55,0,0,0,0,1,0,2,0,0,0,0,0,1,1,3,25.0,35,2022-2023
   Borja Mayoral,19,es ESP,"AM,WB",26-045,35,0,0,0,0,0,0,2,0,0,0,0,0,2,1,4,20.0,35,2022-2023
Carles Aleñá,11,es ESP,AM,25-135,68,0,0,0,2,1,0,3,0,0,0,0,0,3,1,1,50.0,35,2022-2023
   Gonzalo Villar,24,es ESP,DM,25-058,22,0,0,0,1,1,0,3,0,0,0,0,0,2,0,0,,35,2022-2023
Nemanja Maksimović,20,rs SRB,"CM,DM",28-114,90,0,0,0,2,0,0,0,0,3,0,0,0,4,2,2,50.0,35,2022-2023
Mauro Arambarri,18,uy URU,CM,27-232,36,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0.0,35,2022-2023
   Iglesias,21,es ESP,"CB,RB",24-321,54,0,0,0,0,1,0,3,0,3,0,0,0,2,0,2,0.0,35,2022-2023
Gastón Álvarez,4,uy URU,WB,23-057,68,0,0,0,1,0,0,0,1,1,0,0,0,5,0,2,0.0,35,2022-2023
   Juanmi Latasa,14,es ESP,FW,22-058,22,0,0,0,2,2,0,1,0,0,0,0,0,0,5,1,83.3,35,2022-2023
Damián Suárez,22,uy URU,WB,35-023,55,1,0,0,3,1,0,1,1,1,0,0,0,0,1,0,100.0,35,2022-2023
   Portu,9,es ESP,AM,30-364,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,35,2022-2023
Omar Alderete,15,py PAR,CB,26-145,90,0,0,0,3,1,0,0,1,0,0,0,0,4,1,0,100.0,35,2022-2023
Stefan Mitrović,23,rs SRB,CB,32-363,90,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,40.0,35,2022-2023
Djené,2,tg TOG,"CB,CM,LB",31-140,90,1,0,0,3,2,0,2,1,3,0,0,0,6,0,1,0.0,35,2022-2023
David Soria,13,es ESP,GK,30-046,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Lucas Boyé,9,ar ARG,FW,27-081,90,0,0,0,2,4,0,0,0,0,0,0,0,1,6,1,85.7,35,2022-2023
Randy Ntekja,18,fr FRA,FW,25-165,72,0,0,0,3,1,0,0,1,1,0,0,0,4,2,2,50.0,35,2022-2023
   Pere Milla,10,es ESP,FW,30-239,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,35,2022-2023
Gerard Gumbau,20,es ESP,CM,28-153,90,0,0,0,0,1,0,10,1,0,0,0,0,7,0,1,0.0,35,2022-2023
John Donald,26,es ESP,"CM,CB,RB",22-263,90,0,0,0,2,1,0,0,1,0,0,0,0,2,5,5,50.0,35,2022-2023
Fidel,16,es ESP,CM,33-205,78,0,0,0,0,1,0,0,0,0,0,0,0,6,0,3,0.0,35,2022-2023
   Raúl Guti,8,es ESP,CM,26-141,12,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,35,2022-2023
Lautaro Blanco,2,ar ARG,LB,24-090,45,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,35,2022-2023
   Nicolás Ezequiel Fernández,22,ar ARG,LM,23-129,45,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0.0,35,2022-2023
Carlos Clerc,23,es ESP,"LB,CB",31-088,90,0,0,0,0,2,0,2,2,1,0,0,0,5,1,1,50.0,35,2022-2023
Lisandro Magallán,7,ar ARG,CB,29-235,45,0,0,0,0,0,0,0,2,1,0,0,0,1,2,2,50.0,35,2022-2023
   Josan,17,es ESP,"RB,RM",33-168,45,0,0,0,0,2,0,1,0,1,0,0,0,4,1,0,100.0,35,2022-2023
Pedro Bigas,6,es ESP,CB,32-247,90,1,0,0,1,0,0,0,0,0,0,0,0,2,3,3,50.0,35,2022-2023
Tete Morente,11,es ESP,"RB,RM",26-167,78,0,0,0,1,1,0,10,2,1,0,0,0,4,3,0,100.0,35,2022-2023
   Gonzalo Verdú,5,es ESP,CB,34-211,12,0,0,0,0,1,0,0,0,1,0,0,0,1,2,1,66.7,35,2022-2023
Édgar Badía,13,es ESP,GK,31-097,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,35,2022-2023
Luis Javier Suárez,16,co COL,FW,25-169,80,0,0,0,2,2,0,2,0,0,0,0,0,2,3,3,50.0,35,2022-2023
   Dyego Sousa,11,pt POR,FW,33-248,10,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0.0,35,2022-2023
Adri Embarba,10,es ESP,LW,31-013,80,0,0,0,2,2,0,4,1,4,0,0,0,3,0,1,0.0,35,2022-2023
   Arnau Puigmal,18,es ESP,LW,22-130,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,35,2022-2023
Lázaro,14,br BRA,RW,21-069,73,0,0,0,0,2,1,0,0,0,0,0,0,3,1,1,50.0,35,2022-2023
   Francisco Portillo,8,es ESP,RW,32-341,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,35,2022-2023
Gonzalo Melero,3,es ESP,LM,29-138,63,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,100.0,35,2022-2023
   César de la Hoz,6,es ESP,LM,31-051,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,35,2022-2023
Samu Costa,23,pt POR,CM,22-174,73,0,0,0,0,1,0,0,1,0,0,0,0,6,0,2,0.0,35,2022-2023
   Íñigo Eguaras,4,es ESP,CM,31-074,17,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0.0,35,2022-2023
Lucas Robertone,5,ar ARG,RM,26-063,90,0,0,0,1,4,0,3,0,2,0,0,0,10,0,1,0.0,35,2022-2023
Álex Centelles,20,es ESP,LB,25-193,90,0,0,0,0,2,0,5,0,1,0,0,0,8,0,2,0.0,35,2022-2023
Srđan Babić,22,rs SRB,CB,27-028,90,0,0,0,0,0,0,0,1,0,0,0,0,4,4,1,80.0,35,2022-2023
Rodrigo Ely,19,br BRA,CB,29-198,90,1,0,0,3,0,0,0,0,0,0,0,0,2,4,3,57.1,35,2022-2023
Alejandro Pozo Pozo,17,es ESP,RB,24-087,90,0,0,0,1,0,0,2,1,2,0,0,0,3,1,1,50.0,35,2022-2023
Fernando,13,es ESP,GK,32-344,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,35,2022-2023
Vedat Muriqi,7,xk KVX,FW,29-026,69,0,0,0,1,2,1,0,0,0,0,0,0,1,0,4,0.0,35,2022-2023
   Abdón Prats,9,es ESP,FW,30-164,21,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7,35,2022-2023
Lee Kang-in,19,kr KOR,LM,22-090,69,1,0,0,2,2,0,9,0,2,0,0,0,1,0,0,,35,2022-2023
   Ángel Rodríguez,22,es ESP,"FW,LM",36-024,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,35,2022-2023
Dani Rodríguez,14,es ESP,CM,34-348,56,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,,35,2022-2023
   Tino Kadewere,17,zw ZIM,"RM,FW",27-135,34,0,0,0,0,0,0,2,1,0,0,0,0,2,4,0,100.0,35,2022-2023
Iddrisu Baba,12,gh GHA,CM,27-118,90,0,0,0,2,2,0,0,0,2,0,0,0,4,1,0,100.0,35,2022-2023
Amath,23,sn SEN,"RM,LM",26-308,90,0,0,0,1,0,2,0,0,1,0,0,0,3,2,1,66.7,35,2022-2023
Pablo Maffeo,15,es ESP,LB,25-312,90,0,0,0,1,1,0,1,0,0,0,0,0,7,4,2,66.7,35,2022-2023
Copete,6,es ESP,CB,23-222,56,0,0,0,1,0,0,1,1,1,0,0,0,3,2,1,66.7,35,2022-2023
   Clément Grenier,8,fr FRA,CM,32-133,34,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,,35,2022-2023
Dennis Hadzikadunic,5,ba BIH,CB,24-315,90,1,0,0,2,1,0,0,0,1,0,0,0,7,1,1,50.0,35,2022-2023
Martin Valjent,24,sk SVK,CB,27-160,90,0,0,0,0,0,0,0,2,4,0,0,0,3,3,3,50.0,35,2022-2023
Antonio Sánchez,10,es ESP,RB,26-139,55,0,0,0,1,1,0,2,0,0,0,0,0,9,0,0,,35,2022-2023
   Giovanni González,20,uy URU,RB,28-242,35,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0,,35,2022-2023
Predrag Rajković,1,rs SRB,GK,27-201,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,35,2022-2023
