player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
   Rubén Sobrino,23,es ESP,LM,27-126,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2019-2020
Francis Coquelin,17,fr FRA,CM,28-145,90,52,50,2,2,0,1,0,0,0,0,0,0,45,0,1,8,2019-2020
Daniel Parejo,10,es ESP,CM,30-172,90,75,67,8,4,0,3,5,0,4,2,1,1,63,0,0,8,2019-2020
Ferrán Torres,20,es ESP,RM,19-218,69,13,13,0,0,0,0,1,0,0,0,0,0,6,0,0,8,2019-2020
   Mouctar Diakhaby,12,gn GUI,DM,22-290,21,9,7,1,1,0,0,0,0,0,0,0,0,6,1,0,8,2019-2020
Jaume Costa,3,es ESP,LB,31-201,90,54,47,7,0,0,1,2,7,0,0,0,0,43,0,4,8,2019-2020
Gabriel Paulista,5,br BRA,CB,28-313,90,79,78,1,1,0,0,0,0,0,0,0,0,74,0,0,8,2019-2020
Ezequiel Garay,24,ar ARG,CB,32-360,90,74,73,1,1,0,0,0,0,0,0,0,0,66,0,0,8,2019-2020
Daniel Wass,18,dk DEN,RB,30-127,90,54,43,11,2,0,0,1,9,0,0,0,0,39,0,2,8,2019-2020
Jasper Cillessen,13,nl NED,GK,30-166,90,32,20,12,3,0,0,0,0,0,0,0,0,20,0,0,8,2019-2020
Lucas Pérez,7,es ESP,FW,31-025,90,35,24,11,3,1,0,12,0,6,3,3,0,21,0,0,8,2019-2020
Joselu,9,es ESP,FW,29-192,90,28,27,1,0,0,0,1,0,0,0,0,0,15,0,1,8,2019-2020
Luis Rioja,11,es ESP,"RM,LM",25-354,90,23,22,1,0,0,0,1,1,0,0,0,0,16,0,0,8,2019-2020
Manu García,19,es ESP,CM,33-162,90,31,31,0,0,0,0,0,0,0,0,0,0,25,0,1,8,2019-2020
Tomás Pina Isla,8,es ESP,CM,31-356,20,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,8,2019-2020
   Pere Pons,20,es ESP,CM,26-227,70,29,29,0,0,0,1,0,0,0,0,0,0,21,0,1,8,2019-2020
Oliver Burke,24,sct SCO,"LM,RM",22-181,90,30,29,1,0,0,0,0,1,0,0,0,0,23,0,1,8,2019-2020
Rubén Duarte,3,es ESP,LB,23-352,90,47,36,11,0,0,0,1,11,0,0,0,0,36,0,0,8,2019-2020
Rodrigo Ely,4,br BRA,CB,25-336,82,48,47,1,1,0,0,0,0,0,0,0,0,38,0,1,8,2019-2020
   Borja Sainz,29,es ESP,CB,18-246,8,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,8,2019-2020
Víctor Laguardia,5,es ESP,CB,29-334,90,44,44,0,0,0,0,0,0,0,0,0,0,35,0,0,8,2019-2020
Ximo Navarro,23,es ESP,RB,29-255,72,37,33,4,1,0,2,2,3,0,0,0,0,33,0,1,8,2019-2020
   Aleix Vidal,18,es ESP,RB,30-045,18,9,5,4,1,0,0,1,2,1,1,0,0,9,0,0,8,2019-2020
Antonio Sivera,13,es ESP,GK,23-055,90,25,12,13,3,0,0,0,0,0,0,0,0,14,0,0,8,2019-2020
Ezequiel Ávila,9,ar ARG,FW,25-241,90,20,19,1,0,0,1,3,0,0,0,0,0,10,0,1,8,2019-2020
Adrián López,22,es ESP,FW,31-270,73,26,24,1,0,0,0,1,0,0,0,0,0,17,1,1,8,2019-2020
   Robert Ibáñez,17,es ESP,FW,26-197,17,11,10,0,0,0,0,0,0,0,0,0,0,6,1,1,8,2019-2020
Rubén García,14,es ESP,LM,26-083,84,47,36,11,2,0,0,12,2,7,2,5,0,33,0,1,8,2019-2020
   Darko Brašanac,20,rs SRB,LM,27-235,6,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,8,2019-2020
Fran Mérida,8,es ESP,CM,29-215,90,61,56,5,4,0,1,0,1,0,0,0,0,43,0,1,8,2019-2020
Oier Sanjurjo,6,es ESP,CM,33-133,82,29,29,0,0,0,0,0,0,0,0,0,0,23,0,0,8,2019-2020
   Jon Moncayola,27,es ESP,CM,21-145,8,6,6,0,0,0,1,0,0,0,0,0,0,4,0,0,8,2019-2020
Roberto Torres,10,es ESP,RM,30-212,90,52,45,7,5,0,1,6,1,1,0,0,0,34,0,1,8,2019-2020
Pervis Estupiñán,30,ec ECU,LB,21-257,90,60,45,15,0,0,1,3,15,0,0,0,0,49,0,1,8,2019-2020
Facundo Roncaglia,12,ar ARG,CB,32-237,90,43,42,1,1,0,0,1,0,0,0,0,0,34,0,1,8,2019-2020
Aridane Hernández,23,es ESP,CB,30-196,90,41,41,0,0,0,0,0,0,0,0,0,0,34,0,0,8,2019-2020
Nacho Vidal,2,es ESP,RB,24-254,90,62,48,14,2,0,1,3,12,0,0,0,0,56,0,0,8,2019-2020
Rubén,13,es ESP,GK,35-105,90,27,17,9,1,0,0,0,0,0,0,0,0,20,1,0,8,2019-2020
Karl Toko Ekambi,17,cm CMR,FW,27-021,67,19,17,2,0,0,0,1,0,0,0,0,0,13,0,0,8,2019-2020
   Javier Ontiveros,24,es ESP,LW,22-026,23,7,6,1,0,0,0,1,0,1,0,0,0,4,0,1,8,2019-2020
Gerard Moreno,7,es ESP,FW,27-181,90,31,30,1,0,0,0,2,0,0,0,0,0,23,0,3,8,2019-2020
Santi Cazorla,8,es ESP,"LM,AM",34-296,90,49,37,12,4,0,0,10,0,8,0,7,0,37,0,4,8,2019-2020
Vicente Iborra,10,es ESP,"CM,DM",31-262,85,29,28,1,1,0,1,0,0,0,0,0,0,24,0,0,8,2019-2020
   Manu Trigueros,14,es ESP,DM,27-353,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2019-2020
Andre-Frank Zambo Anguissa,19,cm CMR,"CM,DM",23-323,81,39,38,1,1,0,1,2,0,0,0,0,0,28,0,3,8,2019-2020
   Carlos Bacca,9,co COL,DM,33-027,9,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2019-2020
Samuel Chukwueze,11,ng NGA,"RM,RW",20-136,90,31,31,0,0,0,1,2,0,0,0,0,0,21,0,2,8,2019-2020
Xavi Quintillà,16,es ESP,LB,23-043,90,50,44,6,0,0,0,3,6,0,0,0,0,40,0,2,8,2019-2020
Pau Torres,4,es ESP,CB,22-262,90,46,44,2,2,0,2,0,0,0,0,0,0,40,0,0,8,2019-2020
Raúl Albiol,3,es ESP,CB,34-031,90,44,43,1,1,0,0,1,0,0,0,0,0,36,0,0,8,2019-2020
Rubén Peña,20,es ESP,RB,28-079,90,60,47,13,0,0,1,2,13,0,0,0,0,43,0,1,8,2019-2020
Sergio Asenjo,1,es ESP,GK,30-099,90,33,18,15,3,0,1,0,0,0,0,0,0,16,0,0,8,2019-2020
Ante Budimir,22,hr CRO,FW,28-076,90,28,28,0,0,0,0,0,0,0,0,0,0,18,0,0,8,2019-2020
Lago Junior,11,ci CIV,LW,28-279,56,26,25,1,0,0,0,1,1,0,0,0,0,22,0,0,8,2019-2020
   Takefusa Kubo,26,jp JPN,LW,18-124,34,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,8,2019-2020
Dani Rodríguez,14,es ESP,RW,31-122,90,28,27,0,0,0,1,1,0,0,0,0,0,20,1,1,8,2019-2020
Aleix Febas,23,es ESP,AM,23-246,90,37,36,0,0,0,0,0,0,0,0,0,0,28,1,1,8,2019-2020
Salva Sevilla,8,es ESP,DM,35-202,90,61,54,7,4,0,1,1,0,2,0,1,0,51,0,1,8,2019-2020
Iddrisu Baba,12,gh GHA,DM,23-257,76,37,37,0,0,0,0,0,0,0,0,0,0,31,0,2,8,2019-2020
   Marc Pedraza,6,es ESP,DM,32-242,14,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2019-2020
Fran Gámez,15,es ESP,LB,28-071,90,40,27,13,3,0,0,0,10,0,0,0,0,35,0,2,8,2019-2020
Antonio Raillo,21,es ESP,CB,27-363,68,36,36,0,0,0,0,0,0,0,0,0,0,30,0,0,8,2019-2020
   Xisco Campos,5,es ESP,CB,37-210,22,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2019-2020
Martin Valjent,24,sk SVK,CB,23-299,90,30,28,2,2,0,0,0,0,0,0,0,0,26,0,0,8,2019-2020
Joan Sastre Vanrell,2,es ESP,RB,22-159,90,41,30,11,0,0,0,5,11,0,0,0,0,29,0,2,8,2019-2020
Manolo Reina,1,es ESP,GK,34-188,90,25,15,10,2,0,0,0,0,0,0,0,0,19,0,0,8,2019-2020
Víctor Campuzano,31,es ESP,FW,22-128,90,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1,8,2019-2020
Matías Vargas,22,ar ARG,LW,22-151,74,35,32,3,0,1,0,3,1,2,0,2,0,25,0,1,8,2019-2020
   Pablo Piatti,19,ar ARG,LW,30-189,16,11,8,3,2,0,0,2,0,1,1,0,0,7,0,0,8,2019-2020
Wu Lei,7,cn CHN,RW,27-321,90,19,18,1,0,0,0,0,1,0,0,0,0,16,0,0,8,2019-2020
Esteban Granero,23,es ESP,AM,32-096,90,47,44,3,1,0,0,0,0,0,0,0,0,40,0,0,8,2019-2020
Marc Roca,21,es ESP,DM,22-314,77,57,55,2,1,0,1,0,0,0,0,0,0,47,0,0,8,2019-2020
   Óscar Melendo,14,es ESP,DM,22-044,13,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,8,2019-2020
Víctor Sánchez,4,es ESP,DM,32-028,90,69,66,3,3,0,0,4,0,0,0,0,0,60,0,0,8,2019-2020
Adrià Pedrosa,3,es ESP,LB,21-146,90,74,66,8,1,0,0,5,7,0,0,0,0,64,0,0,8,2019-2020
Lluis López,6,es ESP,CB,22-215,90,104,104,0,0,0,1,0,0,0,0,0,0,96,0,0,8,2019-2020
David López,15,es ESP,CB,29-362,61,78,77,1,1,0,0,0,0,0,0,0,0,72,0,0,8,2019-2020
   Naldo,5,br BRA,CB,31-042,29,28,28,0,0,0,0,0,0,0,0,0,0,27,0,0,8,2019-2020
Sébastien Corchia,18,fr FRA,RB,28-339,90,60,48,12,0,0,1,7,11,1,0,1,0,49,0,4,8,2019-2020
Diego López,13,es ESP,GK,37-337,90,36,26,10,4,0,0,0,0,0,0,0,0,34,0,0,8,2019-2020
Santi Mina,22,es ESP,FW,23-303,90,30,27,3,0,0,0,0,2,1,0,0,0,17,0,0,8,2019-2020
Iago Aspas,10,es ESP,FW,32-066,90,46,45,1,0,0,1,0,0,0,0,0,0,33,0,3,8,2019-2020
