Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Unai Bustinza,3,es ESP,RB,27-224,81,0,0,0,0,0,0,0,0,48,0,2,1,0.0,0.0,0.1,3,0,27,38,71.1,4,23,0,1,1,4,2019-2020
   Javier Eraso,17,es ESP,RM,29-176,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,5,0,0,0,4,2019-2020
Juan Soriano,13,es ESP,GK,22-022,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,13,0,0,0,4,2019-2020
Youssef En-Nesyri,26,ma MAR,FW,22-105,45,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,2,0,9,13,69.2,1,9,1,3,1,4,2019-2020
   Guido Carrillo,18,ar ARG,FW,28-112,45,0,0,0,0,1,1,0,0,18,0,0,1,0.1,0.1,0.0,0,0,9,13,69.2,1,12,0,1,0,4,2019-2020
Martin Braithwaite,7,dk DEN,FW,28-101,90,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.1,2,0,16,18,88.9,8,18,2,5,3,4,2019-2020
José Arnaiz,10,es ESP,LM,24-152,90,0,0,0,0,4,1,0,0,35,3,0,2,0.1,0.1,0.0,1,0,16,21,76.2,1,24,3,3,2,4,2019-2020
Rubén Pérez,21,es ESP,CM,30-141,90,0,0,0,0,0,0,1,0,76,0,1,0,0.0,0.0,0.0,1,0,65,72,90.3,15,51,0,0,0,4,2019-2020
Roque Mesa,6,es ESP,CM,30-099,90,0,0,0,0,2,0,1,0,75,1,0,0,0.1,0.1,0.1,4,0,51,67,76.1,8,49,3,3,2,4,2019-2020
Óscar Rodríguez Arnaiz,27,es ESP,RM,21-078,61,0,0,0,0,2,2,0,0,38,2,0,1,0.1,0.1,0.0,2,0,19,28,67.9,3,24,1,0,0,4,2019-2020
   Aitor Ruibal,19,es ESP,"RM,RB",23-176,29,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,12,15,80.0,1,15,1,1,0,4,2019-2020
Jonathan Silva,5,ar ARG,LB,25-077,90,0,0,0,0,0,0,0,0,68,2,0,1,0.0,0.0,0.0,2,0,43,61,70.5,2,35,4,0,0,4,2019-2020
Dimitris Siovas,22,gr GRE,CB,30-363,90,0,0,0,0,1,0,0,0,60,1,0,0,0.1,0.1,0.0,2,0,40,49,81.6,6,37,2,0,0,4,2019-2020
Chidozie Awaziem,12,ng NGA,CB,22-256,90,0,0,0,0,0,0,0,0,64,2,1,1,0.0,0.0,0.0,0,0,41,54,75.9,4,39,1,0,0,4,2019-2020
Unai Bustinza,3,es ESP,RB,27-224,81,0,0,0,0,0,0,0,0,48,0,2,1,0.0,0.0,0.1,3,0,27,38,71.1,4,23,0,1,1,4,2019-2020
