player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
   Éder Militão,3,br BRA,CB,21-239,31,17,2,10,6,1,0,17,0,0,,0,,8,30,8,0,0,0,0,1,13,0,4,2019-2020
Raphaël Varane,5,fr FRA,CB,26-142,90,81,11,54,26,1,1,81,0,0,,0,,42,262,126,0,0,0,0,0,58,0,4,2019-2020
Dani Carvajal,2,es ESP,RB,27-246,90,97,2,31,43,23,0,97,1,1,100.0,0,0.0,45,168,69,0,1,0,1,0,62,2,4,2019-2020
Thibaut Courtois,13,be BEL,GK,27-126,90,39,35,39,0,0,0,39,0,0,,0,,23,87,41,0,0,0,0,0,29,0,4,2019-2020
José Luis Morales,11,es ESP,"FW,RM",32-053,90,25,0,1,8,17,8,25,5,4,80.0,1,20.0,15,167,102,4,1,4,3,0,18,7,4,2019-2020
Borja Mayoral,21,es ESP,FW,22-162,90,19,4,7,4,8,2,19,3,2,66.7,1,33.3,18,93,12,0,0,0,0,4,17,3,4,2019-2020
José Campaña,24,es ESP,CM,26-106,90,59,3,15,30,15,0,59,0,0,,0,,29,226,108,3,4,0,0,2,41,1,4,2019-2020
Nikola Vukčević,17,me MNE,CM,27-275,55,24,1,11,9,4,0,24,0,0,,0,,11,111,41,1,1,0,1,0,16,0,4,2019-2020
   Enis Bardhi,10,mk MKD,"LM,CM",24-074,35,17,0,1,3,13,0,17,0,0,,0,,12,58,27,1,1,0,2,1,14,6,4,2019-2020
Rubén Rochina,16,es ESP,CM,28-175,67,36,0,9,20,7,1,36,6,3,50.0,3,50.0,18,121,60,0,0,0,2,1,24,5,4,2019-2020
   Roger Martí,9,es ESP,FW,28-254,23,3,0,0,1,2,1,3,0,0,,0,,1,0,0,0,0,0,2,0,2,0,4,2019-2020
Carlos Clerc,19,es ESP,LB,27-205,90,47,3,13,18,16,0,47,1,1,100.0,0,0.0,23,219,150,6,3,0,2,0,25,8,4,2019-2020
Sergio Postigo,15,es ESP,CB,30-314,90,59,8,28,29,2,0,59,3,1,33.3,2,66.7,29,140,66,1,0,0,0,0,32,1,4,2019-2020
Óscar Duarte,6,cr CRC,CB,30-103,67,33,10,26,6,1,1,33,0,0,,0,,15,89,34,0,0,0,1,0,17,0,4,2019-2020
   Gonzalo Melero,22,es ESP,CM,25-255,23,16,0,4,8,5,2,16,0,0,,0,,10,36,27,1,1,1,0,0,13,1,4,2019-2020
Rúben Vezo,14,pt POR,CB,25-142,90,50,11,35,13,3,1,50,0,0,,0,,20,103,53,0,0,0,0,0,28,0,4,2019-2020
Jorge Miramón,20,es ESP,RB,30-104,90,46,8,23,12,11,1,46,1,0,0.0,1,100.0,23,141,84,5,3,0,1,1,24,5,4,2019-2020
Aitor Fernández,13,es ESP,GK,28-134,90,42,35,42,0,0,0,42,0,0,,0,,14,120,95,0,0,0,0,0,8,0,4,2019-2020
Youssef En-Nesyri,26,ma MAR,FW,22-105,45,20,2,2,9,10,1,20,3,1,33.3,2,66.7,9,29,20,1,0,0,2,1,14,3,4,2019-2020
   Guido Carrillo,18,ar ARG,FW,28-112,45,18,1,2,9,7,1,18,1,0,0.0,1,100.0,12,34,10,0,1,0,0,1,14,6,4,2019-2020
Martin Braithwaite,7,dk DEN,FW,28-101,90,26,0,0,11,17,3,26,5,3,60.0,2,40.0,18,152,76,2,5,0,2,1,21,7,4,2019-2020
José Arnaiz,10,es ESP,LM,24-152,90,35,0,3,17,17,0,35,3,2,66.7,1,33.3,24,167,98,3,1,0,0,2,20,3,4,2019-2020
Rubén Pérez,21,es ESP,CM,30-141,90,76,3,13,55,9,0,76,0,0,,0,,51,230,127,0,2,0,0,0,51,0,4,2019-2020
Roque Mesa,6,es ESP,CM,30-099,90,75,1,8,37,32,0,75,3,2,66.7,1,33.3,49,283,160,3,4,0,0,0,47,2,4,2019-2020
Óscar Rodríguez Arnaiz,27,es ESP,RM,21-078,61,38,0,4,18,17,3,38,0,0,,0,,24,155,71,1,2,0,3,0,28,10,4,2019-2020
   Aitor Ruibal,19,es ESP,"RM,RB",23-176,29,20,0,4,4,12,1,20,1,0,0.0,1,100.0,15,49,24,1,0,1,2,0,14,5,4,2019-2020
