playerId,tid,tp,mins,g,ga,oaa,pae,pw,ps,s,ec,og,gc,yc,syc,rc,tsa,wc,br,pla,pc,pid,avg,Temporada,Jornada
676,2,9,90,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,7,14,0,2,9.0,2020,10
851,7,9,90,0,1,1,3,0,0,0,4,0,1,0,0,0,0,0,7,18,0,2,9.0,2020,10
931,19,9,90,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,10,0,4,9.0,2020,10
68,3,8,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,0,1,8.0,2020,10
75,3,8,90,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,9,0,2,8.0,2020,10
90,3,8,88,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,4,8.0,2020,10
91,3,8,76,0,0,1,1,0,0,0,1,0,0,0,0,0,1,4,5,12,0,4,8.0,2020,10
204,11,8,90,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,15,8,0,1,8.0,2020,10
248,15,8,85,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,8,0,4,8.0,2020,10
259,16,8,90,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,7,0,2,8.0,2020,10
282,17,8,57,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,4,6,0,2,8.0,2020,10
308,18,8,90,0,1,1,3,0,0,0,2,0,2,0,0,0,0,0,7,8,0,3,8.0,2020,10
844,7,8,90,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,11,8,0,1,8.0,2020,10
67,2,7,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,0,3,7.0,2020,10
77,3,7,90,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,12,0,2,7.0,2020,10
192,9,7,90,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,13,0,2,7.0,2020,10
231,15,7,90,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,4,17,0,2,7.0,2020,10
240,15,7,90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,12,9,0,3,7.0,2020,10
274,16,7,90,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,0,1,7.0,2020,10
386,27,7,90,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,19,0,2,7.0,2020,10
415,17,7,68,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,8,0,4,7.0,2020,10
644,13,7,90,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,15,14,0,1,7.0,2020,10
669,17,7,90,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,9,3,0,3,7.0,2020,10
673,10,7,90,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,4,11,0,2,7.0,2020,10
750,16,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,2,7.0,2020,10
920,13,7,84,0,1,0,5,0,0,0,0,0,1,0,0,0,1,1,8,24,0,3,7.0,2020,10
922,7,7,90,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,5,0,4,7.0,2020,10
55,2,6,90,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,0,2,6.0,2020,10
56,2,6,90,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,4,0,2,6.0,2020,10
