playerId,pid,nn
863,4,Negredo
872,3,Kenedy
786,4,Suso
250,4,Benzema
540,3,Héctor Herrera
734,1,Bono
109,4,Suárez
789,4,Alcácer
821,3,Augusto Fernández
907,4,Calleri
937,3,Torreira
197,3,Maksimovic
932,2,El Yamiq
949,3,Doumbia
991,2,Mingueza
88,4,Kenan Kodro
300,2,Diakhaby
715,4,Carlos Fernández
813,4,Lozano
901,2,Odriozola
939,2,R Araujo
950,4,Rigoni
993,1,Grbic
233,2,Sergio Ramos
98,2,Umtiti
243,3,Fede Valverde
118,2,Mandi
749,2,Vrsaljko
798,2,Chakla
808,2,Cala
870,4,Emre Mor
981,2,Manu Sánchez
671,4,Quique Gonzalez
131,3,Canales
985,4,Burgui
593,2,Victor Díaz
816,3,Jose Mari
996,3,Capoue
998,3,Kike Pérez
1000,3,Paul Akouokou
994,4,Jota
378,3,Pere Pons
995,4,Yéremi Pino
269,3,Illarramendi
648,1,Juan Pérez
962,4,Zalazar
997,2,Aarón Martín
1001,3,Javi Martínez
1007,4,Moussa Dembélé
873,3,Torró
146,2,Kevin Vázquez
216,3,Bardhi
383,2,José Ángel Cote
1003,3,Aleix García
1002,2,Mojica
139,1,Sergio Álvarez
960,4,Carlos Kevin
971,3,Miguel Atienza
1006,3,Jony Álamo
1014,1,Paulo Gazzaniga
1023,2,Helibelton Palacios
1004,3,Rodri
1005,3,Álex Blanco
1008,3,Papu Gómez
1015,4,Facundo Ferreyra
1009,3,Solari
1011,4,Cutrone
966,3,Doukouré
1010,2,Andrei Florin
1012,2,Ferro
1013,3,Christian Oliva
1016,2,Ramalho
1017,3,Yassin Fekir
1019,3,Domingos Quina
1022,4,Baena
1018,4,Pellistri
1020,2,Vavro
1021,3,Jordan Holsgrove
319,1,Cillessen
897,2,Peru Nolaskoain
1024,1,Cárdenas
1025,3,Ilaix
968,4,Darío Poveda
478,4,Chimy Ávila
664,2,Alberto Moreno
299,2,Piccini
325,2,Kiko Olivas
1026,4,Piatti
732,4,Ansu Fati
975,2,Pampin
1063,4,RDT
1107,3,Trejo
1157,2,Alaba
306,4,Guedes
924,4,Boyé
1056,2,Pedrosa
1124,4,Ángel
1204,2,Javi Galán
91,4,Iñaki Williams
1139,3,Toni Moya
1166,3,Morlanes
1206,3,Loum
1276,4,Danjuma
1278,2,Miazga
1293,4,Marcos André
581,4,Rioja
818,3,Perea
1069,3,Antonio Sanchez
1209,3,Nteka
1275,4,Rafa Mir
1290,4,Galhardo
369,2,Ximo
868,3,Silva
1029,4,Álvaro García
1070,3,De Galarreta
1073,3,Baba
1077,2,Russo
1193,4,Willian José
1277,1,Maximiano
1281,2,Augustinsson
1283,4,De la Fuente
1304,2,Murillo
886,3,De Frutos
1050,3,Darder
1064,4,Embarba
1072,3,Dani Rodriguez
1138,1,Kiko Casilla
1176,4,Sobrino
1288,3,Delaney
265,2,Zubeldia
1032,4,Isi
1066,1,Diego Lopez
1123,2,Valjent
1131,4,Memphis
1154,2,Cote
1222,2,Vivian
1261,2,Cuenca
1299,3,Florentino
1314,3,Pastore
597,2,Neva
681,3,Fekir
809,2,Iza
1046,1,Dimitrievski
1049,3,David Lopez
1051,4,Melendo
1058,2,Cabrera
1097,2,Maffeo
1163,1,Dmitrovic
1215,3,Turrientes
1216,2,Jon Pacheco
1263,2,Chust
1284,4,Rochina
1291,3,Mascarell
1301,3,Yangel Herrera
1309,4,Hélder Costa
1311,2,Mustafi
128,3,Lainez
242,4,Asensio
243,3,Valverde
